,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2017,Legislativa,44.00385343232581,44.00385343232581,6.906664247851065,6.906664247851065,0.98,32492184.33,4.776119623886826,4.776119623886826,2.19,34358256.94,1.0,2017.0,2017-02-20,87.5866475177533
abril 2017,Legislativa,43.83239241742676,43.83239241742676,4.542043539442142,11.421795970051454,1.17,28498398.88,5.204971277242003,9.962480751014356,2.02,29781564.01,2.0,2017.0,2017-04-20,87.92926389451829
junho 2017,Legislativa,43.797013978534885,43.797013978534885,7.036197118829999,18.448774214700148,1.57,22306524.9,5.820007171151867,15.774446905077657,1.98,24659940.73,3.0,2017.0,2017-06-20,88.00029156985306
agosto 2017,Legislativa,43.60888653281093,43.60888653281093,5.131979499322714,23.501508111310073,1.74,17770885.41,5.205916925783834,20.912605640647545,1.97,20058955.4,4.0,2017.0,2017-08-20,88.37992222296648
outubro 2017,Legislativa,43.35624804263812,43.35624804263812,5.102248505128878,23.36535729439898,1.74,17770885.41,5.175757591376029,20.791453060641693,1.97,20058955.4,5.0,2017.0,2017-10-20,88.89491535821291
dezembro 2017,Legislativa,43.04461720570701,37.34762584921307,4.850747796486685,33.17737448985007,1.94,3733980.07,7.345783245243812,32.370323159070594,1.98,4456601.64,6.0,2017.0,2017-12-20,89.53848936746968
fevereiro 2018,Legislativa,39.478012245322425,39.478012245322425,8.380801602626272,8.380801602626272,1.07,28014601.74,4.68170858174401,4.68170858174401,2.09,31347010.52,1.0,2018.0,2018-02-20,90.08718518803816
abril 2018,Legislativa,39.35570857382618,39.35570857382618,5.84282163007931,14.197659341724616,1.42,22734610.68,5.407273884739857,10.074478439663451,2.04,26460611.52,2.0,2018.0,2018-04-20,90.36714440875939
junho 2018,Legislativa,38.70438733921278,38.70438733921278,5.698799023982345,19.661492782665153,1.68,17498106.69,5.852444579456135,15.760194430734531,2.05,21082925.93,3.0,2018.0,2018-06-20,91.88785159755834
agosto 2018,Legislativa,38.61138185756827,38.61138185756827,4.886126016596901,24.500372821950094,1.83,12997535.73,5.298245395231525,21.02056855155483,2.04,16202755.16,4.0,2018.0,2018-08-20,92.10918721115112
outubro 2018,Legislativa,38.253130012141014,38.253130012141014,4.147705850938469,28.420754413697377,1.89,9141338.24,5.2724965613651795,26.098027869671267,2.02,11300819.31,5.0,2018.0,2018-10-20,92.97181691723601
dezembro 2018,Legislativa,38.27596139278876,37.95309037127563,5.048371955926566,33.48608929689576,1.97,4150574.79,6.634559096021546,32.748163573626826,2.0,4836228.51,6.0,2018.0,2018-12-20,92.9163597878966
fevereiro 2019,Legislativa,41.72203370895486,41.72203370895486,9.28052857004188,9.28052857004188,1.19,30370828.95,4.806444617235433,4.806444617235433,2.08,34559341.1,1.0,2019.0,2019-02-20,93.61720061986506
abril 2019,Legislativa,41.17308648093771,41.17308648093771,5.629221594302667,14.787643929816364,1.46,25030647.17,5.3024327074916755,10.045637731286986,2.0,29529168.8,2.0,2019.0,2019-04-20,94.86536798275618
