,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2016,DESPESAS CORRENTES,1601.1221452405955,1617.6575023518349,675.7492370941998,675.749187757868,941.9083145939666,209.9796251209279,209.9796251209279,1407.6778772309067,199.08973589592298,1,2016,2016-02-20,83.58951401542743
abril 2016,DESPESAS CORRENTES,1584.5124723639633,1603.7441423727898,371.1846274381236,1031.7011260951215,572.0430162776685,249.64332390051968,452.07535783618675,1151.6687845366032,444.82285699904304,2,2016,2016-04-20,84.46574219786739
junho 2016,DESPESAS CORRENTES,1566.650738616746,1593.7757883154713,65.9766150524802,1086.0467179123666,507.72907040310486,278.19740832327386,725.1756903220781,868.6000979933933,715.5728620269136,3,2016,2016-06-20,85.42875492349346
agosto 2016,DESPESAS CORRENTES,1551.646736494925,1579.6155676161902,145.75036290199557,1221.395881082903,358.2196865332873,255.01948341170674,973.2500791380812,606.3654884781091,962.9318977200943,4,2016,2016-08-20,86.25482775952575
outubro 2016,DESPESAS CORRENTES,1546.374365016054,1587.6550957496613,151.97774676963627,1369.2234223602902,218.43167338937099,256.362704173566,1226.305757402742,361.3493383469188,227.97627759509615,5,2016,2016-10-20,86.54891404553938
dezembro 2016,DESPESAS CORRENTES,1538.960118485548,1620.3510965051028,195.06838267895796,1557.7269264183994,62.62417008670363,307.8028610507117,1528.2289728690107,92.12212363609217,1514.4541127980176,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,DESPESAS CORRENTES,1634.8423539213113,1640.7164303425573,653.9197860197899,653.9197860197899,986.7966443227673,206.69058789275564,206.69058789275564,1434.0258424498015,0.0,1,2017,2017-02-20,87.5866475177533
abril 2017,DESPESAS CORRENTES,1628.472190689257,1639.6752549066687,263.7447181386648,915.1165057122287,724.55874919444,261.41578231081957,467.30100032785117,1172.3742545788173,456.86998891735783,2,2017,2017-04-20,87.92926389451829
junho 2017,DESPESAS CORRENTES,1627.1578019299861,1642.090464658233,191.0515547400711,1105.429442467044,536.6610221911889,289.29826826530035,756.2220959367569,885.868368721476,742.0704332685546,3,2017,2017-06-20,88.00029156985306
agosto 2017,DESPESAS CORRENTES,1620.168443221264,1645.0778616460282,157.51910025309277,1258.2002368757862,386.877624770242,251.7335074800345,1004.7072967770208,640.3705648690075,989.9627985332627,4,2017,2017-08-20,88.37992222296648
