,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2016,RECEITAS CORRENTES,1703.0040391636567,1703.0040391636567,261.92094105199885,15.38,261.92094105199885,15.38,1441.0830981116578,1,2016,2016-02-20,83.58951401542743
abril 2016,RECEITAS CORRENTES,1685.3374669523023,1685.3374669523023,309.9135490300697,18.39,569.1173824814116,33.77,1116.2200844708905,2,2016,2016-04-20,84.46574219786739
junho 2016,RECEITAS CORRENTES,1666.3391632885887,1666.3391632885887,258.66888085621594,15.52,821.3707738201293,49.29,844.9683894684595,3,2016,2016-06-20,85.42875492349346
agosto 2016,RECEITAS CORRENTES,1650.3804331610747,1650.3804331610747,251.9594973696982,15.27,1065.4639047244593,64.56,584.9165284366153,4,2016,2016-08-20,86.25482775952575
outubro 2016,RECEITAS CORRENTES,1644.7725724796278,1644.7725724796278,239.74885907964122,14.58,1301.5924026929592,79.14,343.1801697866687,5,2016,2016-10-20,86.54891404553938
dezembro 2016,RECEITAS CORRENTES,1636.886545903617,1636.886545903617,281.76812880978207,17.21,1577.1199165687894,96.35,59.76662933482743,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,RECEITAS CORRENTES,1726.9216106181188,1726.9216106181188,297.5233762739689,17.23,262.8613016536949,15.22,1464.060308964424,1,2017,2017-02-20,87.5866475177533
abril 2017,RECEITAS CORRENTES,1720.1926605623455,1720.1926605623455,323.90215439726364,18.83,585.739216989065,34.05,1134.4534435732805,2,2017,2017-04-20,87.92926389451829
junho 2017,RECEITAS CORRENTES,1718.8042414602257,1718.8042414602257,267.98040764763545,15.59,853.2468569424921,49.64,865.5573845177338,3,2017,2017-06-20,88.00029156985306
agosto 2017,RECEITAS CORRENTES,1711.4212209692878,1711.4212209692878,258.38780561933714,15.1,1107.969591882644,64.74,603.4516290866438,4,2017,2017-08-20,88.37992222296648
outubro 2017,RECEITAS CORRENTES,1701.506478638271,1701.506478638271,256.89089271279875,15.1,1101.5508138053822,64.74,599.9556648328887,5,2017,2017-10-20,88.89491535821291
dezembro 2017,RECEITAS CORRENTES,1689.2765945518922,1689.2765945518922,263.31402334966896,15.59,1611.4147708350756,95.39,77.8618237168168,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,RECEITAS CORRENTES,1784.1280828623499,1784.1280828623499,290.15852893437756,16.26,290.15852893437756,16.26,1493.9695539279724,1,2018,2018-02-20,90.08718518803816
abril 2018,RECEITAS CORRENTES,1778.6008183790805,1778.6008183790805,307.2574051405857,17.28,596.517017149154,33.54,1182.0838012299266,2,2018,2018-04-20,90.36714440875939
junho 2018,RECEITAS CORRENTES,1749.1656862752343,1749.1656862752343,271.15147079640786,15.5,857.7963699185502,49.04,891.3693163566838,3,2018,2018-06-20,91.88785159755834
agosto 2018,RECEITAS CORRENTES,1744.9624936060852,1744.9624936060852,256.9417034887787,14.72,1112.6768144643056,63.77,632.2856791417795,4,2018,2018-08-20,92.10918721115112
outubro 2018,RECEITAS CORRENTES,1728.7720336054103,1728.7720336054103,255.12827762756785,14.76,1357.481231536548,78.52,371.2908020688625,5,2018,2018-10-20,92.97181691723601
dezembro 2018,RECEITAS CORRENTES,1729.803851193668,1729.803851193668,269.429561587937,15.58,1627.7210057975276,94.1,102.08284539614036,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,RECEITAS CORRENTES,1827.7516158039402,1827.7516158039402,294.66904746504866,16.12,294.66904746504866,16.12,1533.0825683388914,1,2019,2019-02-20,93.61720061986506
abril 2019,RECEITAS CORRENTES,1803.7034308569039,1803.7034308569039,330.23762205502175,18.31,621.0296351953109,34.43,1182.673795661593,2,2019,2019-04-20,94.86536798275618
junho 2019,RECEITAS CORRENTES,1801.1784805351504,1801.1784805351504,258.2441047624453,14.34,878.4043792023355,48.77,922.7741013328149,3,2019,2019-06-20,94.99835332762892
agosto 2019,RECEITAS CORRENTES,1795.7787095565693,1795.7787095565693,271.87656476051626,15.14,1147.6475666903975,63.91,648.131142866172,4,2019,2019-08-20,95.28400620266395
outubro 2019,RECEITAS CORRENTES,1794.7005240193512,1794.7005240193512,301.5931957769274,16.8,1448.5517148682839,80.71,346.1488091510676,5,2019,2019-10-20,95.34124908861676
dezembro 2019,RECEITAS CORRENTES,1765.013754506364,1765.013754506364,304.6465812749264,17.26,1729.2372952344738,97.97,35.776459271890175,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,RECEITAS CORRENTES,1833.3833830218393,1833.3833830218393,303.4845347499521,16.55,303.4845347499521,16.55,1529.8988482718873,1,2020,2020-02-20,97.3923412056326
abril 2020,RECEITAS CORRENTES,1837.7795246991511,1837.7795246991511,331.97817977705193,18.06,636.1904188489636,34.62,1201.5891058501875,2,2020,2020-04-20,97.15936955453364
