Municipio;Dose;Contagem de Id Vacinacao
NOVA CASTILHO;2° Dose;5
SANTANA DA PONTE PENSA;2° Dose;14
GUARANI D'OESTE;2° Dose;18
SAGRES;2° Dose;17
VITÓRIA BRASIL;2° Dose;23
CRUZÁLIA;2° Dose;23
QUADRA;2° Dose;26
NOVA CANAÃ PAULISTA;2° Dose;22
UNIÃO PAULISTA;2° Dose;21
GABRIEL MONTEIRO;2° Dose;27
PONTES GESTAL;2° Dose;20
DIRCE REIS;2° Dose;25
PAULISTÂNIA;2° Dose;23
TRABIJU;2° Dose;25
JUMIRIM;2° Dose;23
BOREBI;2° Dose;39
PONTALINDA;2° Dose;34
ASPÁSIA;2° Dose;21
SANTA CLARA D'OESTE;2° Dose;26
URU;2° Dose;28
BOM SUCESSO DE ITARARÉ;2° Dose;23
PRACINHA;2° Dose;24
ZACARIAS;2° Dose;27
SÃO JOÃO DAS DUAS PONTES;2° Dose;24
SANTA RITA D'OESTE;2° Dose;20
LUCIANÓPOLIS;2° Dose;29
TURIÚBA;2° Dose;24
DOLCINÓPOLIS;2° Dose;32
EMBAÚBA;2° Dose;31
ESTRELA DO NORTE;2° Dose;31
SANTA CRUZ DA ESPERANÇA;2° Dose;31
TEJUPÁ;2° Dose;31
NANTES;2° Dose;31
NOVA LUZITÂNIA;2° Dose;22
PLATINA;2° Dose;35
BENTO DE ABREU;2° Dose;26
SÃO FRANCISCO;2° Dose;25
FERNÃO;2° Dose;46
CÁSSIA DOS COQUEIROS;2° Dose;23
SUZANÁPOLIS;2° Dose;21
ÁLVARO DE CARVALHO;2° Dose;34
ARAPEÍ;2° Dose;32
NIPOÃ;2° Dose;37
SÃO JOÃO DO PAU D'ALHO;2° Dose;22
TAQUARAL;2° Dose;36
FLORA RICA;2° Dose;23
ESPÍRITO SANTO DO TURVO;2° Dose;36
RUBINÉIA;2° Dose;25
RUBIÁCEA;2° Dose;31
SÃO JOÃO DE IRACEMA;2° Dose;41
ITAPIRAPUÃ PAULISTA;2° Dose;33
ÓLEO;2° Dose;25
JERIQUARA;2° Dose;31
NOVA GUATAPORANGA;2° Dose;21
ALVINLÂNDIA;2° Dose;34
SANTA SALETE;2° Dose;36
BARRA DO CHAPÉU;2° Dose;34
BALBINOS;2° Dose;42
MARIÁPOLIS;2° Dose;29
JÚLIO MESQUITA;2° Dose;34
JOÃO RAMALHO;2° Dose;37
LOURDES;2° Dose;31
QUEIROZ;2° Dose;35
MARABÁ PAULISTA;2° Dose;27
MARINÓPOLIS;2° Dose;35
SANDOVALINA;2° Dose;34
PEDRINHAS PAULISTA;2° Dose;37
CANAS;2° Dose;37
ELISIÁRIO;2° Dose;29
GUZOLÂNDIA;2° Dose;30
MESÓPOLIS;2° Dose;40
EMILIANÓPOLIS;2° Dose;29
PEDRANÓPOLIS;2° Dose;34
CANITAR;2° Dose;37
MOTUCA;2° Dose;27
TURMALINA;2° Dose;36
CÂNDIDO RODRIGUES;2° Dose;33
MIRA ESTRELA;2° Dose;26
RIBEIRA;2° Dose;31
CORUMBATAÍ;2° Dose;31
PRESIDENTE ALVES;2° Dose;28
SABINO;2° Dose;3
TAQUARIVAÍ;2° Dose;37
CAIABU;2° Dose;29
OSCAR BRESSANE;2° Dose;53
NOVA INDEPENDÊNCIA;2° Dose;44
MACEDÔNIA;2° Dose;37
REDENÇÃO DA SERRA;2° Dose;37
FLORÍNEA;2° Dose;36
LUPÉRCIO;2° Dose;27
OCAUÇU;2° Dose;38
PARANAPUÃ;2° Dose;33
SANTA ERNESTINA;2° Dose;39
PARISI;2° Dose;32
SANTA MERCEDES;2° Dose;33
COROADOS;2° Dose;31
CAMPOS NOVOS PAULISTA;2° Dose;36
PONGAÍ;2° Dose;37
ANHEMBI;2° Dose;26
RIFAINA;2° Dose;34
LUIZIÂNIA;2° Dose;38
GASTÃO VIDIGAL;2° Dose;38
PRATÂNIA;2° Dose;42
TORRE DE PEDRA;2° Dose;43
ITAJU;2° Dose;35
SÃO JOSÉ DO BARREIRO;2° Dose;47
LUTÉCIA;2° Dose;39
RIVERSUL;2° Dose;27
ALAMBARI;2° Dose;34
NOVAIS;2° Dose;56
SALMOURÃO;2° Dose;37
UBARANA;2° Dose;52
BREJO ALEGRE;2° Dose;46
ÁLVARES FLORENCE;2° Dose;45
SANTO EXPEDITO;2° Dose;40
ANALÂNDIA;2° Dose;34
SEBASTIANÓPOLIS DO SUL;2° Dose;50
RIBEIRÃO DO SUL;2° Dose;33
CAMPINA DO MONTE ALEGRE;2° Dose;29
LAVRINHAS;2° Dose;46
RIBEIRÃO GRANDE;2° Dose;51
TIMBURI;2° Dose;35
ARAMINA;2° Dose;40
MARAPOAMA;2° Dose;52
SARUTAIÁ;2° Dose;38
IPEÚNA;2° Dose;43
MAGDA;2° Dose;47
SANTÓPOLIS DO AGUAPEÍ;2° Dose;44
ALTO ALEGRE;2° Dose;49
GLICÉRIO;2° Dose;40
AREIAS;2° Dose;51
ITAPURA;2° Dose;45
RIBEIRÃO CORRENTE;2° Dose;56
FLOREAL;2° Dose;45
MONÇÕES;2° Dose;46
SANTA LÚCIA;2° Dose;60
IPIGUÁ;2° Dose;38
MOMBUCA;2° Dose;65
UBIRAJARA;2° Dose;52
INÚBIA PAULISTA;2° Dose;45
ALTAIR;2° Dose;54
CABRÁLIA PAULISTA;2° Dose;65
BORACÉIA;2° Dose;48
MIRASSOLÂNDIA;2° Dose;56
MONTEIRO LOBATO;2° Dose;59
NARANDIBA;2° Dose;46
ONDA VERDE;2° Dose;50
MERIDIANO;2° Dose;53
ARANDU;2° Dose;42
GUATAPARÁ;2° Dose;53
RIBEIRÃO DOS ÍNDIOS;2° Dose;56
IARAS;2° Dose;56
DOBRADA;2° Dose;57
PEDRA BELA;2° Dose;66
ESTIVA GERBI;2° Dose;38
PIACATU;2° Dose;50
JAMBEIRO;2° Dose;50
GAVIÃO PEIXOTO;2° Dose;46
MURUTINGA DO SUL;2° Dose;46
ADOLFO;2° Dose;69
CORONEL MACEDO;2° Dose;55
PAULICÉIA;2° Dose;60
SARAPUÍ;2° Dose;62
TUIUTI;2° Dose;55
CLEMENTINA;2° Dose;49
IACRI;2° Dose;62
SÃO PEDRO DO TURVO;2° Dose;44
INDIAPORÃ;2° Dose;64
PARDINHO;2° Dose;60
PEREIRAS;2° Dose;49
PLANALTO;2° Dose;59
BURITIZAL;2° Dose;61
ANHUMAS;2° Dose;47
ITAOCA;2° Dose;38
RESTINGA;2° Dose;63
SILVEIRAS;2° Dose;54
NOVA CAMPINA;2° Dose;61
BARÃO DE ANTONINA;2° Dose;112
POPULINA;2° Dose;64
ITIRAPUÃ;2° Dose;74
LAVÍNIA;2° Dose;69
ÁGUAS DE SANTA BÁRBARA;2° Dose;51
LAGOINHA;2° Dose;58
SALES;2° Dose;53
SANTA MARIA DA SERRA;2° Dose;64
TAPIRAÍ;2° Dose;62
CATIGUÁ;2° Dose;16
SALTINHO;2° Dose;58
TACIBA;2° Dose;61
TARABAI;2° Dose;52
NATIVIDADE DA SERRA;2° Dose;79
ORINDIÚVA;2° Dose;61
SANTA CRUZ DA CONCEIÇÃO;2° Dose;51
INDIANA;2° Dose;66
MONTE CASTELO;2° Dose;34
SÃO JOSÉ DA BELA VISTA;2° Dose;52
TRÊS FRONTEIRAS;2° Dose;72
POLONI;2° Dose;66
AMÉRICO DE CAMPOS;2° Dose;67
SANTO ANTÔNIO DO PINHAL;2° Dose;72
ALFREDO MARCONDES;2° Dose;56
ORIENTE;2° Dose;67
VISTA ALEGRE DO ALTO;2° Dose;82
DUMONT;2° Dose;79
GUARANTÃ;2° Dose;76
PARAÍSO;2° Dose;73
GUAIMBÊ;2° Dose;77
BARBOSA;2° Dose;66
CAIUÁ;2° Dose;76
APARECIDA D'OESTE;2° Dose;73
IRAPURU;2° Dose;71
REGINÓPOLIS;2° Dose;58
SANTO ANTÔNIO DA ALEGRIA;2° Dose;66
LINDÓIA;2° Dose;72
RAFARD;2° Dose;72
IRAPUÃ;2° Dose;59
SANTO ANTÔNIO DO ARACANGUÁ;2° Dose;92
BOFETE;2° Dose;68
SANTO ANTÔNIO DO JARDIM;2° Dose;60
QUELUZ;2° Dose;66
NOVA EUROPA;2° Dose;69
SALTO GRANDE;2° Dose;57
SANTA ALBERTINA;2° Dose;63
MANDURI;2° Dose;68
CRISTAIS PAULISTA;2° Dose;72
NOVA ALIANÇA;2° Dose;72
JABORANDI;2° Dose;92
ÁGUAS DE SÃO PEDRO;2° Dose;71
SETE BARRAS;2° Dose;63
RIOLÂNDIA;2° Dose;76
EUCLIDES DA CUNHA PAULISTA;2° Dose;75
MONTE ALEGRE DO SUL;2° Dose;68
COSMORAMA;2° Dose;75
FERNANDO PRESTES;2° Dose;89
QUINTANA;2° Dose;66
PEDRO DE TOLEDO;2° Dose;77
PIQUEROBI;2° Dose;74
AREIÓPOLIS;2° Dose;97
IBIRAREMA;2° Dose;82
GUAIÇARA;2° Dose;84
ÁGUAS DA PRATA;2° Dose;63
AVANHANDAVA;2° Dose;84
CHAVANTES;2° Dose;81
TAIAÇU;2° Dose;105
BRAÚNA;2° Dose;123
MENDONÇA;2° Dose;98
RINÓPOLIS;2° Dose;68
SÃO LOURENÇO DA SERRA;2° Dose;107
COLÔMBIA;2° Dose;104
ARCO-ÍRIS;2° Dose;178
ITOBI;2° Dose;98
PORANGABA;2° Dose;91
VARGEM;2° Dose;79
ILHA COMPRIDA;2° Dose;68
TAIÚVA;2° Dose;99
AREALVA;2° Dose;89
HERCULÂNDIA;2° Dose;102
PALMARES PAULISTA;2° Dose;91
PRADÓPOLIS;2° Dose;90
MINEIROS DO TIETÊ;2° Dose;88
PIQUETE;2° Dose;96
ECHAPORÃ;2° Dose;125
VALENTIM GENTIL;2° Dose;97
GETULINA;2° Dose;100
SÃO LUIZ DO PARAITINGA;2° Dose;84
IGARATÁ;2° Dose;109
IPORANGA;2° Dose;44
ICÉM;2° Dose;130
ROSEIRA;2° Dose;104
SUD MENNUCCI;2° Dose;78
DOURADO;2° Dose;99
GUARAÇAÍ;2° Dose;86
TAGUAÍ;2° Dose;134
RIBEIRÃO BONITO;2° Dose;87
MACAUBAL;2° Dose;104
ELIAS FAUSTO;2° Dose;128
NUPORANGA;2° Dose;118
BOCAINA;2° Dose;90
GÁLIA;2° Dose;103
ITARIRI;2° Dose;115
IBIRÁ;2° Dose;116
IEPÊ;2° Dose;94
PARAPUÃ;2° Dose;96
TERRA ROXA;2° Dose;102
CAPELA DO ALTO;2° Dose;125
PINHALZINHO;2° Dose;95
ALUMÍNIO;2° Dose;122
BOA ESPERANÇA DO SUL;2° Dose;138
GUAREÍ;2° Dose;122
LUÍS ANTÔNIO;2° Dose;140
RIBEIRÃO BRANCO;2° Dose;122
MORUNGABA;2° Dose;113
PALMEIRA D'OESTE;2° Dose;113
JACUPIRANGA;2° Dose;105
NAZARÉ PAULISTA;2° Dose;109
RINCÃO;2° Dose;102
TARUMÃ;2° Dose;122
CHARQUEADA;2° Dose;138
CANANÉIA;2° Dose;120
ESTRELA D'OESTE;2° Dose;126
GUARACI;2° Dose;143
SERRA AZUL;2° Dose;142
SÃO BENTO DO SAPUCAÍ;2° Dose;125
VERA CRUZ;2° Dose;134
TORRINHA;2° Dose;106
BILAC;2° Dose;140
CAJOBI;2° Dose;130
IACANGA;2° Dose;175
HOLAMBRA;2° Dose;114
BANANAL;2° Dose;121
SALESÓPOLIS;2° Dose;118
PALESTINA;2° Dose;74
GUAPIARA;2° Dose;119
MARACAÍ;2° Dose;178
ARAÇARIGUAMA;2° Dose;167
JUQUIÁ;2° Dose;105
IPAUSSU;2° Dose;127
PIRANGI;2° Dose;124
SÃO SEBASTIÃO DA GRAMA;2° Dose;132
UCHOA;2° Dose;89
PAULO DE FARIA;2° Dose;131
ARIRANHA;2° Dose;123
OUROESTE;2° Dose;147
BÁLSAMO;2° Dose;109
TAPIRATIBA;2° Dose;127
ITATINGA;2° Dose;144
SALES OLIVEIRA;2° Dose;141
FLÓRIDA PAULISTA;2° Dose;127
MIRACATU;2° Dose;117
CRAVINHOS;2° Dose;84
BURI;2° Dose;136
CARDOSO;2° Dose;143
ITABERÁ;2° Dose;131
SANTA BRANCA;2° Dose;151
ITAPUÍ;2° Dose;105
BARRA DO TURVO;2° Dose;66
BOM JESUS DOS PERDÕES;2° Dose;160
CESÁRIO LANGE;2° Dose;130
IPUÃ;2° Dose;153
ENGENHEIRO COELHO;2° Dose;164
TABAPUÃ;2° Dose;74
URUPÊS;2° Dose;123
OURO VERDE;2° Dose;131
SÃO SIMÃO;2° Dose;165
JACI;2° Dose;179
VIRADOURO;2° Dose;152
TABATINGA;2° Dose;143
JOANÓPOLIS;2° Dose;161
APIAÍ;2° Dose;106
SEVERÍNIA;2° Dose;124
NHANDEARA;2° Dose;148
PIRAPORA DO BOM JESUS;2° Dose;205
PACAEMBU;2° Dose;145
PANORAMA;2° Dose;143
CAJATI;2° Dose;125
BIRITIBA MIRIM;2° Dose;157
ITIRAPINA;2° Dose;73
URÂNIA;2° Dose;150
ITAPORANGA;2° Dose;183
IGARAÇU DO TIETÊ;2° Dose;156
IPERÓ;2° Dose;183
REGENTE FEIJÓ;2° Dose;144
BURITAMA;2° Dose;154
PARAIBUNA;2° Dose;173
POTIM;2° Dose;142
CONCHAS;2° Dose;172
BORBOREMA;2° Dose;195
CUNHA;2° Dose;183
PATROCÍNIO PAULISTA;2° Dose;151
QUATÁ;2° Dose;156
NEVES PAULISTA;2° Dose;155
AURIFLAMA;2° Dose;190
CORDEIRÓPOLIS;2° Dose;28
AVAÍ;2° Dose;282
ÁGUAS DE LINDÓIA;2° Dose;152
PEDREGULHO;2° Dose;176
BERNARDINO DE CAMPOS;2° Dose;111
DUARTINA;2° Dose;136
POTIRENDABA;2° Dose;204
ANGATUBA;2° Dose;167
CONCHAL;2° Dose;202
CAFELÂNDIA;2° Dose;116
GENERAL SALGADO;2° Dose;195
ITAJOBI;2° Dose;169
CERQUEIRA CÉSAR;2° Dose;170
CEDRAL;2° Dose;211
ITAÍ;2° Dose;174
SANTA GERTRUDES;2° Dose;182
BASTOS;2° Dose;187
COLINA;2° Dose;222
SANTA ADÉLIA;2° Dose;228
TAMBAÚ;2° Dose;208
PARANAPANEMA;2° Dose;224
DIVINOLÂNDIA;2° Dose;218
CACONDE;2° Dose;194
FARTURA;2° Dose;231
BROTAS;2° Dose;198
GUAPIAÇU;2° Dose;223
MACATUBA;2° Dose;168
ALTINÓPOLIS;2° Dose;250
IBATÉ;2° Dose;243
MONTE AZUL PAULISTA;2° Dose;175
ROSANA;2° Dose;247
MIRANTE DO PARANAPANEMA;2° Dose;205
IRACEMÁPOLIS;2° Dose;273
TEODORO SAMPAIO;2° Dose;196
SANTA ROSA DE VITERBO;2° Dose;217
PINDORAMA;2° Dose;257
NOVA GRANADA;2° Dose;169
BADY BASSITT;2° Dose;236
RIO DAS PEDRAS;2° Dose;223
ÁLVARES MACHADO;2° Dose;188
PIRACAIA;2° Dose;203
BARRINHA;2° Dose;268
SANTO ANTÔNIO DE POSSE;2° Dose;222
MARTINÓPOLIS;2° Dose;217
PILAR DO SUL;2° Dose;198
IGARAPAVA;2° Dose;183
SÃO MIGUEL ARCANJO;2° Dose;233
AGUAÍ;2° Dose;256
LUCÉLIA;2° Dose;280
PIRATININGA;2° Dose;247
ARAÇOIABA DA SERRA;2° Dose;207
GUARIBA;2° Dose;279
GUARÁ;2° Dose;257
PIRAPOZINHO;2° Dose;233
CASTILHO;2° Dose;302
PALMITAL;2° Dose;331
CÂNDIDO MOTA;2° Dose;234
JUNQUEIRÓPOLIS;2° Dose;247
IGUAPE;2° Dose;329
DOIS CÓRREGOS;2° Dose;222
SANTO ANASTÁCIO;2° Dose;221
BRODOWSKI;2° Dose;262
TAQUARITUBA;2° Dose;305
CABREÚVA;2° Dose;16
PRESIDENTE BERNARDES;2° Dose;272
