DRS;Município;Unidade de Saúde;Leitos Ocupados / Enfermaria;Leitos Ocupados / UTI
Araçatuba;MIRANDÓPOLIS;UNID INT SAUDE DR OSWALDO B FARIA DE MIRANDOPOLIS;12;16
Araraquara;AMÉRICO BRASILIENSE;HOSPITAL ESTADUAL AMÉRICO BRASILIENSE;12;24
Araraquara;AMÉRICO BRASILIENSE;HOSPITAL NESTOR GOULART REIS AMERICO BRASILIENSE;15;0
Araraquara;AMÉRICO BRASILIENSE;UNIDADE HOSPITALAR DR. JOSÉ NIGRO NETO;11;0
Araraquara;ARARAQUARA;FUNDAÇÃO MUNICIPAL IRENE SIQUEIRA ALVES HOSPITAL;3;1
Araraquara;ARARAQUARA;HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA;30;15
Araraquara;ARARAQUARA;UNIDADE DE RETAGUARDA DE URGENCIA E DIAGNOSTICO DO MELHADO;32;0
Araraquara;ARARAQUARA;UPA DR ANTONIO ALONSO MARTINEZ VILA XAVIER;5;0
Araraquara;DOURADO;HOSPITAL E MATERNIDADE PÚBLICO DE DOURADO;3;0
Araraquara;IBATÉ;HOSPITAL E MATERNIDADE MUNICIPAL DE IBATÉ;7;0
Baixada Santista;CUBATAO;HOSPITAL DR. LUIZ CAMARGO DA FONSECA E SILVA;12;7
Baixada Santista;GUARUJÁ;INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;6;8
Baixada Santista;GUARUJÁ;PRONTO SOCORRO PROF DR MATHEUS SANTAMARIA GUARUJA;24;6
Baixada Santista;ITANHAEM;HOSPITAL REGIONAL JORGE ROSSMANN;9;6
Baixada Santista;MONGAGUÁ;UNIDADE DE PRONTO ATENDIMENTO DE AGENOR DE CAMPOS;0;2
Baixada Santista;PERUIBE;UNIDADE DE PRONTO ATENDIMENTO DE PERUIBE UPA24H;3;0
Baixada Santista;PRAIA GRANDE;COMPLEXO HOSPITALAR IRMA DULCE O S S;6;14
Baixada Santista;PRAIA GRANDE;HOSPITAL DE CAMPANHA COVID 19 FALCAO;8;0
Baixada Santista;SANTOS;COMPLEXO HOSPITALAR DOS ESTIVADORES;15;17
Baixada Santista;SANTOS;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL VITORIA;30;32
Baixada Santista;SANTOS;HOSPITAL GUILHERME ÁLVARO;3;4
Baixada Santista;SANTOS;SECAO HOSPITAL MUNICIPAL DR ARTHUR DOMINGUES PINTO;1;0
Baixada Santista;SÃO VICENTE;HOSPITAL MUNICIPAL DE SAO VICENTE - HOSPITAL GERAL;6;2
Barretos;BEBEDOURO;HOSPITAL DE CAMPANHA COVID 19 BEBEDOURO;12;15
Barretos;BEBEDOURO;HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINTO CALDEIRA;1;0
Barretos;JABORANDÍ;HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO;1;0
Bauru;BAURU;HOSPITAL ESTADUAL BAURU;60;51
Bauru;BAURU;MATERNIDADE SANTA ISABEL;1;0
Bauru;BAURU;SECRETARIA DE ESTADO DA SAUDE;24;0
Bauru;BOTUCATU;HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;43;33
Bauru;CONCHAS;HOSPITAL MUNICIPAL DE CONCHAS;6;0
Bauru;LINS;CAIS CLEMENTE FERREIRA;2;0
