Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
BORÁ;2° Dose;38
NOVA CASTILHO;2° Dose;47
SAGRES;2° Dose;51
MESÓPOLIS;2° Dose;62
TRABIJU;2° Dose;51
VITÓRIA BRASIL;2° Dose;55
URU;2° Dose;52
BOREBI;2° Dose;45
PAULISTÂNIA;2° Dose;53
SÃO JOÃO DE IRACEMA;2° Dose;58
DIRCE REIS;2° Dose;48
FERNÃO;2° Dose;58
CRUZÁLIA;2° Dose;52
JÚLIO MESQUITA;2° Dose;76
SANTANA DA PONTE PENSA;2° Dose;44
UNIÃO PAULISTA;2° Dose;58
PRACINHA;2° Dose;73
ZACARIAS;2° Dose;61
BOM SUCESSO DE ITARARÉ;2° Dose;64
GUARANI D'OESTE;2° Dose;56
SÃO JOÃO DAS DUAS PONTES;2° Dose;42
BENTO DE ABREU;2° Dose;60
QUADRA;2° Dose;49
JUMIRIM;2° Dose;65
MACEDÔNIA;2° Dose;62
SANTA CRUZ DA ESPERANÇA;2° Dose;72
ASPÁSIA;2° Dose;70
NANTES;2° Dose;71
ARAPEÍ;2° Dose;76
TAQUARAL;2° Dose;77
ITAPIRAPUÃ PAULISTA;2° Dose;76
BALBINOS;2° Dose;67
PONTES GESTAL;2° Dose;64
EMBAÚBA;2° Dose;71
GABRIEL MONTEIRO;2° Dose;62
TURIÚBA;2° Dose;79
ESPÍRITO SANTO DO TURVO;2° Dose;80
ESTRELA DO NORTE;2° Dose;69
CANITAR;2° Dose;92
SANTA CLARA D'OESTE;2° Dose;66
NOVA GUATAPORANGA;2° Dose;60
PLATINA;2° Dose;63
SANTA SALETE;2° Dose;82
NOVA CANAÃ PAULISTA;2° Dose;56
NOVAIS;2° Dose;60
ÓLEO;2° Dose;72
PONTALINDA;2° Dose;57
RIFAINA;2° Dose;59
QUEIROZ;2° Dose;98
DOLCINÓPOLIS;2° Dose;55
PRATÂNIA;2° Dose;95
RUBIÁCEA;2° Dose;88
TEJUPÁ;2° Dose;70
LUCIANÓPOLIS;2° Dose;61
JOÃO RAMALHO;2° Dose;71
MOMBUCA;2° Dose;99
NOVA INDEPENDÊNCIA;2° Dose;84
BREJO ALEGRE;2° Dose;47
SABINO;2° Dose;30
NOVA LUZITÂNIA;2° Dose;79
SANDOVALINA;2° Dose;94
CANAS;2° Dose;96
ÁLVARO DE CARVALHO;2° Dose;69
PRESIDENTE ALVES;2° Dose;80
RIBEIRÃO CORRENTE;2° Dose;112
BARRA DO CHAPÉU;2° Dose;77
