Ds Município;Dose;Contagem de Id Vacinacao
BORÁ;2° Dose;40
NOVA CASTILHO;2° Dose;47
MESÓPOLIS;2° Dose;62
SAGRES;2° Dose;51
TRABIJU;2° Dose;51
BOREBI;2° Dose;53
PAULISTÂNIA;2° Dose;64
MACEDÔNIA;2° Dose;63
CRUZÁLIA;2° Dose;52
FERNÃO;2° Dose;60
URU;2° Dose;53
PRACINHA;2° Dose;78
BOM SUCESSO DE ITARARÉ;2° Dose;67
UNIÃO PAULISTA;2° DOSE;89
BALBINOS;2° Dose;73
DIRCE REIS;2° Dose;67
ESTRELA DO NORTE;2° Dose;69
SANTA CRUZ DA ESPERANÇA;2° Dose;72
NOVAIS;2° Dose;60
QUADRA;2° Dose;50
ZACARIAS;2° Dose;61
VITÓRIA BRASIL;2° Dose;76
SANTANA DA PONTE PENSA;2° Dose;46
SÃO JOÃO DE IRACEMA;2° Dose;81
ASPÁSIA;2° DOSE;79
SÃO JOÃO DAS DUAS PONTES;2° Dose;52
JUMIRIM;2° Dose;65
BENTO DE ABREU;2° Dose;61
TAQUARAL;2° Dose;80
NANTES;2° Dose;95
GUARANI D'OESTE;2° Dose;92
SABINO;2° Dose;32
ARAPEÍ;2° Dose;97
JOÃO RAMALHO;2° Dose;82
ÓLEO;2° Dose;74
NOVA GUATAPORANGA;2° Dose;62
CANITAR;2° Dose;100
GABRIEL MONTEIRO;2° Dose;62
SANTA SALETE;2° Dose;91
PARISI;2° Dose;82
NOVA INDEPENDÊNCIA;2° Dose;89
BREJO ALEGRE;2° Dose;47
LUCIANÓPOLIS;2° Dose;61
QUEIROZ;2° Dose;98
EMBAÚBA;2° Dose;80
PLATINA;2° Dose;77
SANTA CLARA D'OESTE;2° Dose;112
PONTES GESTAL;2° Dose;84
TURIÚBA;2° Dose;98
NOVA CANAÃ PAULISTA;2° Dose;67
SANDOVALINA;2° Dose;94
JÚLIO MESQUITA;2° Dose;76
MARAPOAMA;2° Dose;109
TAQUARIVAÍ;2° Dose;95
AREIAS;2° Dose;132
SÃO JOÃO DO PAU D'ALHO;2° Dose;101
MARINÓPOLIS;2° Dose;95
RUBIÁCEA;2° Dose;104
DOLCINÓPOLIS;2° Dose;76
LOURDES;2° Dose;96
ÁLVARO DE CARVALHO;2° Dose;73
CANAS;2° Dose;108
PONTALINDA;2° Dose;64
NOVA LUZITÂNIA;2° Dose;83
RIFAINA;2° DOSE;76
ESPÍRITO SANTO DO TURVO;2° Dose;93
CÁSSIA DOS COQUEIROS;2° Dose;94
ITAPIRAPUÃ PAULISTA;2° Dose;80
MOTUCA;2° Dose;80
CORUMBATAÍ;2° Dose;113
ITAJU;2° Dose;97
TEJUPÁ;2° Dose;80
ALVINLÂNDIA;2° Dose;87
BARRA DO CHAPÉU;2° Dose;88
NIPOÃ;2° Dose;73
PRESIDENTE ALVES;2° Dose;85
JERIQUARA;2° Dose;95
MARABÁ PAULISTA;2° Dose;83
RIBEIRÃO CORRENTE;2° Dose;113
FLORÍNEA;2° Dose;124
MARIÁPOLIS;2° Dose;119
TORRE DE PEDRA;2° Dose;99
PRATÂNIA;2° Dose;95
SUZANÁPOLIS;2° Dose;81
MOMBUCA;2° Dose;176
MONÇÕES;2° Dose;104
ELISIÁRIO;2° Dose;99
FLORA RICA;2° Dose;97
OSCAR BRESSANE;2° DOSE;115
TURMALINA;2° Dose;102
PEDRANÓPOLIS;2° Dose;104
CAMPOS NOVOS PAULISTA;2° Dose;109
SANTA MERCEDES;2° Dose;106
LUTÉCIA;2° Dose;123
SÃO JOSÉ DO BARREIRO;2° Dose;114
SANTA ERNESTINA;2° Dose;104
MIRA ESTRELA;2° Dose;115
CÂNDIDO RODRIGUES;2° Dose;105
CAIABU;2° Dose;112
GUZOLÂNDIA;2° Dose;102
RUBINÉIA;2° Dose;135
PEDRINHAS PAULISTA;2° DOSE;125
SÃO FRANCISCO;2° Dose;90
TIMBURI;2° Dose;106
REDENÇÃO DA SERRA;2° Dose;114
PONGAÍ;2° Dose;120
RIBEIRA;2° Dose;116
PARANAPUÃ;2° Dose;115
BARÃO DE ANTONINA;2° Dose;166
ORINDIÚVA;2° Dose;160
NARANDIBA;2° Dose;131
LAVRINHAS;2° Dose;128
SANTA RITA D'OESTE;2° Dose;99
JAMBEIRO;2° Dose;159
UBARANA;2° Dose;128
ARAMINA;2° Dose;116
SANTÓPOLIS DO AGUAPEÍ;2° Dose;146
SEBASTIANÓPOLIS DO SUL;2° Dose;125
ALTAIR;2° Dose;125
ALAMBARI;2° Dose;120
COROADOS;2° Dose;114
SARUTAIÁ;2° Dose;155
LUIZIÂNIA;2° Dose;112
ANHUMAS;2° Dose;129
SANTA MARIA DA SERRA;2° Dose;160
CABRÁLIA PAULISTA;2° Dose;122
MONTEIRO LOBATO;2° Dose;131
SANTO EXPEDITO;2° Dose;123
OCAUÇU;2° Dose;115
ITAPURA;2° Dose;129
UBIRAJARA;2° Dose;133
GASTÃO VIDIGAL;2° Dose;110
GAVIÃO PEIXOTO;2° Dose;119
LUPÉRCIO;2° Dose;139
ONDA VERDE;2° Dose;138
EMILIANÓPOLIS;2° Dose;149
IPEÚNA;2° Dose;122
PLANALTO;2° Dose;128
FLOREAL;2° Dose;112
RIBEIRÃO DOS ÍNDIOS;2° Dose;127
ARCO-ÍRIS;2° Dose;232
INÚBIA PAULISTA;2° Dose;144
ANHEMBI;2° Dose;115
SALMOURÃO;2° Dose;129
MAGDA;2° Dose;118
RIVERSUL;2° Dose;132
DOBRADA;2° Dose;133
RIBEIRÃO DO SUL;2° Dose;138
IARAS;2° Dose;139
GLICÉRIO;2° Dose;145
PAULICÉIA;2° Dose;131
MERIDIANO;2° Dose;145
RESTINGA;2° Dose;165
BORACÉIA;2° Dose;125
MONTE CASTELO;2° Dose;147
ANALÂNDIA;2° Dose;111
ADOLFO;2° Dose;167
SÃO JOSÉ DA BELA VISTA;2° Dose;179
MENDONÇA;2° Dose;235
ITAOCA;2° Dose;232
AREIÓPOLIS;2° Dose;226
SALTO GRANDE;2° Dose;58
MURUTINGA DO SUL;2° Dose;162
SÃO PEDRO DO TURVO;2° Dose;115
CAMPINA DO MONTE ALEGRE;2° Dose;128
RIBEIRÃO GRANDE;2° Dose;141
SANTA LÚCIA;2° Dose;152
IPIGUÁ;2° Dose;149
CORONEL MACEDO;2° Dose;171
BURITIZAL;2° Dose;173
CAIUÁ;2° Dose;188
NOVA CAMPINA;2° Dose;148
ITIRAPUÃ;2° Dose;147
INDIANA;2° Dose;147
ÁLVARES FLORENCE;2° Dose;114
ARANDU;2° Dose;136
MIRASSOLÂNDIA;2° Dose;206
ALTO ALEGRE;2° Dose;203
GUARANTÃ;2° Dose;189
PARDINHO;2° Dose;139
TACIBA;2° Dose;150
CLEMENTINA;2° Dose;197
INDIAPORÃ;2° Dose;158
ESTIVA GERBI;2° Dose;164
GUAIMBÊ;2° Dose;242
IACRI;2° Dose;194
SILVEIRAS;2° Dose;173
SANTO ANTÔNIO DO PINHAL;2° Dose;220
POPULINA;2° Dose;168
RAFARD;2° Dose;207
PEDRA BELA;2° Dose;137
LAVÍNIA;2° Dose;167
VISTA ALEGRE DO ALTO;2° Dose;183
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
TARABAI;2° Dose;198
PALMARES PAULISTA;2° Dose;206
APARECIDA D'OESTE;2° Dose;218
BARBOSA;2° Dose;238
AMÉRICO DE CAMPOS;2° Dose;189
ALFREDO MARCONDES;2° Dose;207
TAPIRAÍ;2° Dose;190
GUATAPARÁ;2° Dose;172
REGINÓPOLIS;2° Dose;216
PIQUEROBI;2° Dose;262
SARAPUÍ;2° Dose;158
SALTINHO;2° Dose;180
PIACATU;2° Dose;210
DUMONT;2° Dose;231
RIOLÂNDIA;2° Dose;203
PARAÍSO;2° Dose;235
TUIUTI;2° Dose;172
SANTO ANTÔNIO DO JARDIM;2° Dose;177
NATIVIDADE DA SERRA;2° Dose;283
VARGEM;2° Dose;177
JABORANDI;2° Dose;257
COLÔMBIA;2° Dose;275
RINÓPOLIS;2° Dose;275
SANTA CRUZ DA CONCEIÇÃO;2° Dose;209
ECHAPORÃ;2° Dose;272
ÁGUAS DE SÃO PEDRO;2° Dose;232
LAGOINHA;2° Dose;234
LINDÓIA;2° Dose;208
BRAÚNA;2° Dose;256
QUINTANA;2° Dose;237
SANTO ANTÔNIO DO ARACANGUÁ;2° Dose;258
EUCLIDES DA CUNHA PAULISTA;2° Dose;217
SALES;2° Dose;197
CATIGUÁ;2° Dose;138
ORIENTE;2° Dose;221
TRÊS FRONTEIRAS;2° Dose;225
IPORANGA;2° Dose;392
IRAPUÃ;2° Dose;279
ITOBI;2° Dose;214
ICÉM;2° Dose;250
NOVA EUROPA;2° Dose;214
PEREIRAS;2° Dose;173
CRISTAIS PAULISTA;2° Dose;221
NUPORANGA;2° Dose;277
LUÍS ANTÔNIO;2° Dose;280
SANTA ALBERTINA;2° Dose;246
QUELUZ;2° Dose;257
GUAIÇARA;2° Dose;210
NOVA ALIANÇA;2° Dose;267
TAIAÇU;2° Dose;296
IBIRAREMA;2° Dose;249
IRAPURU;2° Dose;189
PIQUETE;2° Dose;261
BOFETE;2° Dose;202
SERRA AZUL;2° Dose;319
HERCULÂNDIA;2° Dose;216
FERNANDO PRESTES;2° Dose;233
JACI;2° Dose;342
POLONI;2° Dose;298
CHAVANTES;2° Dose;242
TAIÚVA;2° Dose;308
GETULINA;2° Dose;266
RINCÃO;2° Dose;292
ROSEIRA;2° Dose;327
DOURADO;2° Dose;307
AVANHANDAVA;2° Dose;233
GÁLIA;2° Dose;316
PEDRO DE TOLEDO;2° Dose;242
SANTO ANTÔNIO DA ALEGRIA;2° Dose;291
IGARATÁ;2° Dose;257
MANDURI;2° Dose;228
CAFELÂNDIA;2° Dose;133
MONTE ALEGRE DO SUL;2° Dose;240
VALENTIM GENTIL;2° Dose;303
ÁGUAS DA PRATA;2° Dose;265
TAGUAÍ;2° Dose;260
AVAÍ;2° Dose;489
SUD MENNUCCI;2° Dose;323
AREALVA;2° Dose;254
ARIRANHA;2° Dose;365
COLINA;2° Dose;396
BOCAINA;2° Dose;331
SÃO LOURENÇO DA SERRA;2° Dose;269
PAULO DE FARIA;2° Dose;363
GUAREÍ;2° Dose;315
COSMORAMA;2° Dose;240
SETE BARRAS;2° Dose;260
HOLAMBRA;2° Dose;302
PORANGABA;2° Dose;234
IEPÊ;2° Dose;300
ALUMÍNIO;2° Dose;283
CAPELA DO ALTO;2° Dose;281
BILAC;2° Dose;322
MACAUBAL;2° Dose;325
BOA ESPERANÇA DO SUL;2° Dose;298
CHARQUEADA;2° Dose;328
SEVERÍNIA;2° Dose;351
PRADÓPOLIS;2° Dose;317
GUARACI;2° Dose;401
BÁLSAMO;2° Dose;367
ILHA COMPRIDA;2° Dose;265
TARUMÃ;2° Dose;325
OURO VERDE;2° Dose;350
CAJOBI;2° Dose;406
ITAPUÍ;2° Dose;323
TERRA ROXA;2° Dose;351
RIBEIRÃO BONITO;2° Dose;386
MINEIROS DO TIETÊ;2° Dose;278
SÃO LUIZ DO PARAITINGA;2° Dose;349
SÃO BENTO DO SAPUCAÍ;2° Dose;339
MORUNGABA;2° Dose;302
SALES OLIVEIRA;2° Dose;349
IPUÃ;2° Dose;349
ELIAS FAUSTO;2° Dose;305
VERA CRUZ;2° Dose;330
PIRAPORA DO BOM JESUS;2° Dose;404
TORRINHA;2° Dose;389
CANANÉIA;2° Dose;352
ARAÇARIGUAMA;2° Dose;313
IGARAÇU DO TIETÊ;2° Dose;308
GUARAÇAÍ;2° Dose;391
RIBEIRÃO BRANCO;2° Dose;313
GUAPIARA;2° Dose;358
BURI;2° Dose;288
CEDRAL;2° Dose;475
ENGENHEIRO COELHO;2° Dose;428
IACANGA;2° Dose;295
ESTRELA D'OESTE;2° Dose;386
BARRA DO TURVO;2° Dose;511
ITIRAPINA;2° Dose;473
