,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Patrimônio Histórico Artístico e Arqueológico,0.8452155826114565,0.8452155826114565,0.02604841730197494,0.02604841730197494,0.0,726886.0,0.000985138204927508,0.000985138204927508,0.0,749125.84,1,2018,2018-02-20,88.73475778602311
abril 2018,Patrimônio Histórico Artístico e Arqueológico,0.8426018485293554,0.8426018485293554,0.0018154137693847804,0.027783279271928137,0.0,725270.1,0.017828342880441102,0.01881043465632166,0.0,733256.83,2,2018,2018-04-20,89.01001122998021
junho 2018,Patrimônio Histórico Artístico e Arqueológico,0.8288019643029256,0.8288019643029256,0.025296273628125317,0.05262452655747855,0.0,702378.98,0.017015635847924787,0.03551799876080187,0.0,717859.03,3,2018,2018-06-20,90.4920635209639
agosto 2018,Patrimônio Histórico Artístico e Arqueológico,0.8268200518340779,0.8268200518340779,0.08367036382483553,0.1361690494578911,0.01,626482.45,0.05326369261781451,0.08869675725967789,0.01,669544.08,4,2018,2018-08-20,90.70897571198554
outubro 2018,Patrimônio Histórico Artístico e Arqueológico,0.8191839467559971,0.8191839467559971,0.02425204996823753,0.15916350877174582,0.01,604278.6,0.03938439811855612,0.12726199556586915,0.01,633485.88,5,2018,2018-10-20,91.5545284999824
dezembro 2018,Patrimônio Histórico Artístico e Arqueológico,0.8196783357442011,0.8196783357442011,0.04087445147773253,0.20013401765681924,0.01,566878.76,0.06370918170342821,0.19104798166649506,0.01,575192.42,6,2018,2018-12-20,91.49930738611765
fevereiro 2019,Patrimônio Histórico Artístico e Arqueológico,1.1628561458955935,1.1628561458955935,0.06791264300187731,0.06791264300187731,0.01,1009393.5,0.007607899554212526,0.007607899554212526,0.0,1064986.52,1,2019,2019-02-20,92.18681122198316
abril 2019,Patrimônio Histórico Artístico e Arqueológico,1.14765799794333,1.14765799794333,0.17576262333935147,0.24278767039927598,0.02,845217.82,0.03158557149296771,0.03909403829839269,0.01,1035483.19,2,2019,2019-04-20,93.40761811629307
junho 2019,Patrimônio Histórico Artístico e Arqueológico,1.1460533742324657,1.1460533742324657,0.031547652844495754,0.2739958642295651,0.02,815708.65,0.09969156953529852,0.13873094762924054,0.02,942233.29,3,2019,2019-06-20,93.53840092464623
agosto 2019,Patrimônio Histórico Artístico e Arqueológico,1.1426231167997525,1.1756653897669094,0.12930786552322238,0.4024836315174539,0.03,725393.03,0.12499662699324277,0.26331233840840096,0.02,855962.44,4,2019,2019-08-20,93.8192116226781
