,Data,Homens,Mulheres,Total Casos Confirmados,Total Casos Descartados,Total Casos Recuperados,Total Casos Suspeitos,Total Casos em Tratamento,Total Óbitos,Óbitos Diários,Casos Diários,Média Móvel Casos,Média Móvel Óbitos,Média Móvel Tratamento,Média Móvel Suspeitos
0,23/04/2020,5.0,7.0,62.0,223.0,38.0,176.0,21.0,3.0,,,,,,
1,24/04/2020,3.0,5.0,70.0,227.0,39.0,180.0,,4.0,1.0,8.0,,,,
2,25/04/2020,3.0,7.0,80.0,239.0,42.0,181.0,,5.0,1.0,10.0,,,,
3,26/04/2020,2.0,1.0,83.0,256.0,42.0,164.0,,5.0,0.0,3.0,,,,
4,28/04/2020,3.0,4.0,97.0,287.0,44.0,176.0,,10.0,5.0,14.0,,,,
5,29/04/2020,3.0,15.0,115.0,289.0,45.0,191.0,60.0,10.0,0.0,18.0,,,,
6,30/04/2020,1.0,2.0,118.0,296.0,51.0,195.0,57.0,10.0,0.0,3.0,,,,180.42857142857142
7,01/05/2020,2.0,12.0,132.0,310.0,61.0,211.0,60.0,11.0,1.0,14.0,10.0,1.1428571428571428,,185.42857142857142
8,02/05/2020,2.0,1.0,135.0,337.0,61.0,202.0,63.0,11.0,0.0,3.0,9.285714285714286,1.0,,188.57142857142858
9,03/05/2020,2.0,3.0,140.0,377.0,61.0,176.0,68.0,11.0,0.0,5.0,8.571428571428571,0.8571428571428571,,187.85714285714286
10,04/05/2020,5.0,7.0,152.0,386.0,63.0,169.0,76.0,13.0,2.0,12.0,9.857142857142858,1.1428571428571428,,188.57142857142858
11,05/05/2020,6.0,5.0,163.0,426.0,65.0,146.0,85.0,13.0,0.0,11.0,9.428571428571429,0.42857142857142855,67.0,184.28571428571428
12,06/05/2020,9.0,9.0,181.0,457.0,67.0,147.0,101.0,13.0,0.0,18.0,9.428571428571429,0.42857142857142855,72.85714285714286,178.0
13,07/05/2020,0.0,0.0,181.0,486.0,73.0,160.0,94.0,14.0,1.0,0.0,9.0,0.5714285714285714,78.14285714285714,173.0
