,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2017,Legislativa,44.606034903523366,44.606034903523366,7.001180180284909,7.001180180284909,0.98,32492184.33,4.841479598466118,4.841479598466118,2.19,34358256.94,1.0,2017.0,2017-02-20,86.40422777626367
abril 2017,Legislativa,44.43222748852178,44.43222748852178,4.604200242718845,11.578100324431272,1.17,28498398.88,5.276199976930563,10.098814750141258,2.02,29781564.01,2.0,2017.0,2017-04-20,86.74221883194232
junho 2017,Legislativa,44.39636490474898,44.39636490474898,7.132485675448553,18.70124096776497,1.57,22306524.9,5.899652479626827,15.990316173418805,1.98,24659940.73,3.0,2017.0,2017-06-20,86.81228763366008
agosto 2017,Legislativa,44.205662983082526,44.205662983082526,5.202209325213089,23.823120234475482,1.74,17770885.41,5.277158566430646,21.198789296145502,1.97,20058955.4,4.0,2017.0,2017-08-20,87.18679327295646
outubro 2017,Legislativa,43.94956719983589,43.94956719983589,5.1720714699735195,23.6851062284835,1.74,17770885.41,5.246586509250915,21.07597877409193,1.97,20058955.4,5.0,2017.0,2017-10-20,87.69483400087707
dezembro 2017,Legislativa,43.633671774664975,37.8587185496331,4.917129038506521,33.631398367815564,1.94,3733980.07,7.446308408762097,32.81330274614352,1.98,4456601.64,6.0,2017.0,2017-12-20,88.32971976100887
fevereiro 2018,Legislativa,40.01825873828932,40.01825873828932,8.4954907274468,8.4954907274468,1.07,28014601.74,4.745776565376591,4.745776565376591,2.09,31347010.52,1.0,2018.0,2018-02-20,88.87100818799969
abril 2018,Legislativa,39.89428137235292,39.89428137235292,5.9227791485852075,14.391950675848564,1.42,22734610.68,5.481271043831581,10.212345098493103,2.04,26460611.52,2.0,2018.0,2018-04-20,89.14718795924118
junho 2018,Legislativa,39.23404697335304,39.23404697335304,5.776785629987169,19.930555278930708,1.68,17498106.69,5.932533785561208,15.97586865761229,2.05,21082925.93,3.0,2018.0,2018-06-20,90.64736560099134
agosto 2018,Legislativa,39.139768735497476,39.139768735497476,4.952991400503698,24.835654153015795,1.83,12997535.73,5.370750527350758,21.308229651854866,2.04,16202755.16,4.0,2018.0,2018-08-20,90.86571318380062
outubro 2018,Legislativa,38.77661430526203,38.77661430526203,4.20446614388086,28.809685163403312,1.89,9141338.24,5.344649327283506,26.4551727011366,2.02,11300819.31,5.0,2018.0,2018-10-20,91.71669738885336
dezembro 2018,Legislativa,38.79975812751013,38.47246869870817,5.1174576339853655,33.944337857978454,1.97,4150574.79,6.725351339099385,33.19631381006266,2.0,4836228.51,6.0,2018.0,2018-12-20,91.66198893076003
fevereiro 2019,Legislativa,42.29298906128216,42.29298906128216,9.407530228121518,9.407530228121518,1.19,30370828.95,4.872219581586854,4.872219581586854,2.08,34559341.1,1.0,2019.0,2019-02-20,92.35336841149692
abril 2019,Legislativa,41.7365296309556,41.7365296309556,5.706256050991045,14.990009052018609,1.46,25030647.17,5.374995141907425,10.183109712404443,2.0,29529168.8,2.0,2019.0,2019-04-20,93.584685514989
junho 2019,Legislativa,41.678103915221115,41.678103915221115,6.1880371126972324,21.15706210074419,1.73,19231474.01,6.253068186287825,16.421922868899166,1.99,23669051.2,3.0,2019.0,2019-06-20,93.71587555770597
agosto 2019,Legislativa,41.553156710712635,41.393578290717066,4.32817394121483,25.42180907391658,1.81,15013091.26,5.416112979434984,21.78880440154625,1.97,18428031.08,4.0,2019.0,2019-08-20,93.99767211892802
outubro 2019,Legislativa,41.52820819542353,41.36872558631133,4.3457938090402894,29.752339628788892,1.88,10925692.17,5.646346789537188,27.42206919292075,1.96,13117408.04,5.0,2019.0,2019-10-20,94.05414222592046
dezembro 2019,Legislativa,40.84127556879016,40.68443101733419,5.839709983553537,35.09990574922376,1.95,5340821.74,7.134397167236236,34.102868315912666,1.95,6294349.38,6.0,2019.0,2019-12-20,95.63609230130871
fevereiro 2020,Legislativa,42.59991257132324,42.59991257132324,9.827373398615382,9.827373398615382,1.18,31487050.94,4.6703287731918675,4.6703287731918675,1.87,36441812.79,1.0,2020.0,2020-02-20,96.07754459935659
abril 2020,Legislativa,42.702059919684146,38.59867584400867,6.000961938464223,15.851899707836012,1.49,21802265.86,5.7839969608965935,10.465524388530685,1.96,26964983.69,2.0,2020.0,2020-04-20,95.84771806554745
junho 2020,Legislativa,42.75288049523576,38.2267875662489,5.256675117782522,21.127440488498824,1.67,16369851.89,5.671630900364275,16.149610518780236,1.94,21135316.85,3.0,2020.0,2020-06-20,95.73378337527687
agosto 2020,Legislativa,42.496732597151826,37.99775712029598,4.0825128239082975,25.083371210561946,1.77,12437950.47,5.08656070626349,21.139413094565928,1.94,16236408.72,4.0,2020.0,2020-08-20,96.3108161467056
outubro 2020,Legislativa,41.86162062835669,37.42988216004344,4.386806061018584,29.09530729217353,1.86,8148881.79,5.155743327986028,25.979228739430194,1.93,11195534.58,5.0,2020.0,2020-10-20,97.77201500000001
fevereiro 2017,Essencial à Justiça,1.2719285019776652,1.6538542578035336,1.1551421333044867,1.1551421333044867,0.16,430908.36,0.015878227666735665,0.015878227666735665,0.01,1415280.54,1.0,2017.0,2017-02-20,86.40422777626367
abril 2017,Essencial à Justiça,1.2669724325697092,1.6474100146880022,0.00027562126403891365,1.1509167432461047,0.12,430669.28,0.08870892517642667,0.1045252833290589,0.02,1338332.45,2.0,2017.0,2017-04-20,86.74221883194232
junho 2017,Essencial à Justiça,1.2659498211102092,1.7628840820992393,0.026614630981157898,1.1766024347962865,0.1,508964.51,0.13369118953501627,0.23813210737214183,0.03,1323672.07,3.0,2017.0,2017-06-20,86.81228763366008
agosto 2017,Essencial à Justiça,1.2605120096106197,1.6135379077376362,-0.07394519006813546,1.0976032195656298,0.08,449826.91,0.1680001116011147,0.4051093367939659,0.04,1053590.12,4.0,2017.0,2017-08-20,87.18679327295646
outubro 2017,Essencial à Justiça,1.2532095105955827,1.604190230847498,-0.07351680487741755,1.0912444967857846,0.08,449826.91,0.16702683991457815,0.4027624249753042,0.04,1053590.12,5.0,2017.0,2017-10-20,87.69483400087707
dezembro 2017,Essencial à Justiça,1.244201841660465,1.343819456476947,-0.20820804197907425,1.1397474969057928,0.07,180256.19,0.20952174477711283,0.9961488753510227,0.06,307096.45,6.0,2017.0,2017-12-20,88.32971976100887
fevereiro 2018,Essencial à Justiça,1.5753168874132824,1.5753168874132824,1.4935184117549225,1.4935184117549225,0.19,72695.13,0.198297525360803,0.198297525360803,0.09,1223770.99,1.0,2018.0,2018-02-20,88.87100818799969
abril 2018,Essencial à Justiça,1.5704365241897382,1.5704365241897382,-0.15041228228231526,1.3384791795626223,0.13,206783.45,0.2597993445467861,0.45748254020807083,0.09,992167.18,2.0,2018.0,2018-04-20,89.14718795924118
