,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2016,DESPESAS CORRENTES,1620.954876011088,1637.6950527775643,684.1195870562514,684.1195371088019,953.5755156687624,212.58059431287325,212.58059431287325,1425.114458464691,201.55581454140878,1,2016,2016-02-20,82.5667783728512
abril 2016,DESPESAS CORRENTES,1604.228817388369,1623.6997901782731,375.80333780485677,1044.5387501081477,579.1610400701258,252.74967616527576,457.70060464717085,1165.9991855311025,450.35785976885427,2,2016,2016-04-20,83.42763859452558
junho 2016,DESPESAS CORRENTES,1586.2607658157444,1613.7253442615317,66.80245528845985,1099.640944853113,514.0843994084184,281.6796514355626,734.2528347428085,879.472509518723,724.5298062527867,3,2016,2016-06-20,84.37264848517734
agosto 2016,DESPESAS CORRENTES,1571.141856269882,1599.4620919343658,147.58159208270231,1236.7416801196982,362.72041181466756,258.2235860319265,985.4781375082767,613.9839544260893,975.0303169283129,4,2016,2016-08-20,85.18455635683237
outubro 2016,DESPESAS CORRENTES,1565.8148289565856,1607.6145262324615,153.88835649822403,1386.43680818142,221.17771805104118,259.5856041510443,1241.7224335946078,365.8920926378536,230.842313597858,5,2016,2016-10-20,85.47436103232282
dezembro 2016,DESPESAS CORRENTES,1558.3264470479414,1640.741652013606,197.52313010594972,1577.3294171555815,63.41223485802454,311.67626314083145,1547.4602603154162,93.28139169818962,1533.5120569180876,6,2016,2016-12-20,85.88509952682755
fevereiro 2017,DESPESAS CORRENTES,1655.457200396243,1661.4053470685535,662.1655082837036,662.1655082837036,999.2398387848499,209.29689101856005,209.29689101856005,1452.1084560499935,0.0,1,2017,2017-02-20,86.49596073261608
abril 2017,DESPESAS CORRENTES,1649.0202498509498,1660.364674312428,267.0726485159121,926.6634441289402,733.7012301834876,264.7143261799963,473.19740350621356,1187.1672708062142,462.6347736125771,2,2017,2017-04-20,86.83359771533586
junho 2017,DESPESAS CORRENTES,1647.713826988945,1662.8351353352596,193.46512553334742,1119.3944280961648,543.440707239095,292.9529982766867,765.7755149940705,897.0596203411892,751.4450731490185,3,2017,2017-06-20,86.90244546995642
agosto 2017,DESPESAS CORRENTES,1640.6515439787959,1665.875881589612,159.51054726295115,1274.1071275036747,391.768754085937,254.91606718198042,1017.4093839444479,648.466497645164,1002.4784772785226,4,2017,2017-08-20,87.27652226062857
outubro 2017,DESPESAS CORRENTES,1631.1797399591799,1656.2584525082634,158.58966150370435,1266.7514564862668,389.50699602199614,253.44438659346045,1011.5356794836765,644.7227730245867,996.6909718782974,5,2017,2017-10-20,87.7833125879698
dezembro 2017,DESPESAS CORRENTES,1619.4993921035243,1671.9946088380782,188.53756320214723,1603.448290810077,68.54631802800156,310.99896752312463,1562.07172339573,109.92288544234839,1629.8344833008648,6,2017,2017-12-20,88.41643392901426
fevereiro 2018,DESPESAS CORRENTES,1711.6347016979191,1722.3088925143566,763.7094101006701,763.7094101006701,958.5994824136862,217.48909408560826,217.48909408560826,1504.8197984287483,207.68892089854697,1,2018,2018-02-20,88.95659468048812
abril 2018,DESPESAS CORRENTES,1706.3416639830768,1726.1461177407216,206.10080138050355,967.4485260661532,758.6975916745683,260.12001938255685,476.9365529174704,1249.209564823251,571.3120648568142,2,2018,2018-04-20,89.2325362580551
junho 2018,DESPESAS CORRENTES,1678.395704150686,1702.496538594485,174.7137955653052,1126.3177353917717,576.1788032027135,274.780006235499,743.9054331447594,958.5911054497259,733.741526378007,3,2018,2018-06-20,90.71829367976625
agosto 2018,DESPESAS CORRENTES,1674.382159881984,1699.8000203383046,157.80492318740886,1281.4292972458315,418.37072309247355,255.2273619654277,997.3538955454,702.446124792905,985.1731346508233,4,2018,2018-08-20,90.93574815126546
outubro 2018,DESPESAS CORRENTES,1658.9183862526907,1707.9150244444495,162.47103367252757,1432.0656774865815,275.8493469578676,262.9782144411603,1251.1210378439287,456.7939866005205,1236.924972252582,5,2018,2018-10-20,91.78341482123231
dezembro 2018,DESPESAS CORRENTES,1659.919566739369,1718.006512221613,187.92340254013402,1620.8533517255662,97.15316049604672,329.0258844649576,1580.9019913827733,137.1045208388396,1547.5599206806871,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,DESPESAS CORRENTES,1748.460533135571,1750.4304572931235,762.1699989414151,762.1699989414151,988.2604583517082,224.3934358345102,224.3934358345102,1526.037021458613,200.0671909312843,1,2019,2019-02-20,92.4172782500381
abril 2019,DESPESAS CORRENTES,1725.6087281508512,1751.7981910443677,228.60501713110483,980.8137044781547,770.9844865662129,264.974463468811,486.43515078634687,1265.3630402580206,464.5518833452006,2,2019,2019-04-20,93.64113716158379
junho 2019,DESPESAS CORRENTES,1723.1960296937962,1758.7730433447393,177.0871958409489,1156.5295536906076,602.2434896541316,298.7713900662198,784.5264206615793,974.2466226831602,777.1889597864449,3,2019,2019-06-20,93.77224692695782
agosto 2019,DESPESAS CORRENTES,1718.038324021634,1758.375179390818,164.39543542175468,1317.4633753804917,440.91180401032614,265.7334160223441,1047.9116671779118,710.4635122129063,1022.3595637543071,4,2019,2019-08-20,94.05375965173477
outubro 2019,DESPESAS CORRENTES,1717.0088055418316,1753.9118543291595,160.72735471273856,1477.401252424163,276.5106019049964,273.65096949825227,1320.9346853601337,432.97716896902574,1293.4831332019226,5,2019,2019-10-20,94.11015428602192
dezembro 2019,DESPESAS CORRENTES,1688.8744373953164,1771.8269219008685,227.95687814159749,1681.1498966873633,90.67702521350515,342.9067847159783,1642.197048326221,129.62987357464706,1618.8191493473284,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,DESPESAS CORRENTES,1770.0913181949313,1778.3114539375795,796.1590071461546,796.1590071461546,982.1524467914247,238.5933961014745,238.5933961014745,1539.7180578361047,212.996190355138,1,2020,2020-02-20,96.11852306778191
abril 2020,DESPESAS CORRENTES,1774.353617223618,1814.630330868342,222.24196969068598,1020.3180913540166,794.3122395143254,269.23549377032685,508.40341186962195,1306.22691899872,473.1088880842621,2,2020,2020-04-20,95.88763003522416
junho 2020,DESPESAS CORRENTES,1776.502972640155,1826.9344425641762,182.53189157304058,1204.0859407400633,622.8485018241129,283.2697137055043,792.2889778023716,1034.6454647618045,747.5931108083743,3,2020,2020-06-20,95.77161750939717
agosto 2020,DESPESAS CORRENTES,1765.8923611631756,1838.5177667621613,144.79943902975657,1341.6936731986234,496.82409356353776,244.61877488213744,1032.1756071995733,806.342159562588,1005.2558238477563,4,2020,2020-08-20,96.34707468122883
outubro 2020,DESPESAS CORRENTES,1739.7010916404847,1821.4306447334013,148.29177836231398,1470.0857898462857,351.34485488711556,260.98160518665827,1277.8482444573458,543.5824002760554,1255.5409799169367,5,2020,2020-10-20,97.79758374443772
fevereiro 2016,PESSOAL E ENCARGOS SOCIAIS,786.8592099672171,786.1256675644058,112.04829135058,112.04824140313045,674.0774261612754,109.6669689364715,109.6669689364715,676.4586986279345,108.96981373513779,1,2016,2016-02-20,82.5667783728512
abril 2016,PESSOAL E ENCARGOS SOCIAIS,778.7398887766573,777.6327468923121,291.591301837426,398.30410722161423,379.3286396706978,125.67713098004442,230.03318597176855,547.5995609205436,228.90173045426585,2,2016,2016-04-20,83.42763859452558
junho 2016,PESSOAL E ENCARGOS SOCIAIS,770.0176676498867,765.6434274236262,-20.50166075210842,373.34126944626985,392.3021579773564,144.38840947537898,371.8451249934597,393.79830243016653,367.2081587369277,3,2016,2016-06-20,84.37264848517734
agosto 2016,PESSOAL E ENCARGOS SOCIAIS,762.6785039280081,757.1477216694677,119.8863856286421,489.66927868086964,267.478442988598,120.30460013281545,488.6056087285317,268.5421129409359,484.53940638137095,4,2016,2016-08-20,85.18455635683237
outubro 2016,PESSOAL E ENCARGOS SOCIAIS,760.0926080679523,759.882226465998,121.40761246610272,609.4166453762894,150.46558108970862,121.82831477455754,608.7772841533451,151.10494231265284,95.70025070917696,5,2016,2016-10-20,85.47436103232282
dezembro 2016,PESSOAL E ENCARGOS SOCIAIS,756.4575270673826,787.5198045601936,171.81649214239525,778.318652039515,9.20115252067858,172.43275602625403,778.2986123934124,9.221192166781131,770.4956409153311,6,2016,2016-12-20,85.88509952682755
fevereiro 2017,PESSOAL E ENCARGOS SOCIAIS,789.6639845546482,808.5700697191935,118.03816092131176,118.03816092131176,690.5319087978816,117.9626162375525,117.9626162375525,690.6074534816408,,1,2017,2017-02-20,86.49596073261608
abril 2017,PESSOAL E ENCARGOS SOCIAIS,786.5935167619677,806.548879209123,120.08138628763102,237.66057683862695,568.888302370496,120.07630265627618,237.58024226556378,568.9686369435592,233.4072072130728,2,2017,2017-04-20,86.83359771533586
junho 2017,PESSOAL E ENCARGOS SOCIAIS,785.9703444549597,805.6044318592075,147.77491370412224,385.2472058864466,420.35722597276083,147.71240209158225,385.1044233452546,420.50000851395293,379.48390154798415,3,2017,2017-06-20,86.90244546995642
