Munic�pio1,C�digo Munic�pio IBGE,Popula��o estimada (2020),UF1,Data,M�dia de �ndice De Isolamento
PIRACICABA,3538709,407252,SP,"segunda-feira, 29/03",45%
PIRACICABA,3538709,407252,SP,"domingo, 28/03",50%
PIRACICABA,3538709,407252,SP,"s�bado, 27/03",44%
PIRACICABA,3538709,407252,SP,"sexta-feira, 26/03",37%
PIRACICABA,3538709,407252,SP,"quinta-feira, 25/03",38%
PIRACICABA,3538709,407252,SP,"quarta-feira, 24/03",37%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 23/03",39%
PIRACICABA,3538709,407252,SP,"segunda-feira, 22/03",38%
PIRACICABA,3538709,407252,SP,"domingo, 21/03",46%
PIRACICABA,3538709,407252,SP,"s�bado, 20/03",42%
PIRACICABA,3538709,407252,SP,"sexta-feira, 19/03",37%
PIRACICABA,3538709,407252,SP,"quinta-feira, 18/03",39%
PIRACICABA,3538709,407252,SP,"quarta-feira, 17/03",38%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 16/03",39%
PIRACICABA,3538709,407252,SP,"segunda-feira, 15/03",38%
PIRACICABA,3538709,407252,SP,"domingo, 14/03",45%
PIRACICABA,3538709,407252,SP,"s�bado, 13/03",40%
PIRACICABA,3538709,407252,SP,"sexta-feira, 12/03",36%
PIRACICABA,3538709,407252,SP,"quinta-feira, 11/03",36%
PIRACICABA,3538709,407252,SP,"quarta-feira, 10/03",36%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 09/03",37%
PIRACICABA,3538709,407252,SP,"segunda-feira, 08/03",36%
PIRACICABA,3538709,407252,SP,"domingo, 07/03",46%
PIRACICABA,3538709,407252,SP,"s�bado, 06/03",40%
PIRACICABA,3538709,407252,SP,"sexta-feira, 05/03",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 04/03",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 03/03",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 02/03",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 01/03",34%
PIRACICABA,3538709,407252,SP,"domingo, 28/02",42%
PIRACICABA,3538709,407252,SP,"s�bado, 27/02",38%
PIRACICABA,3538709,407252,SP,"sexta-feira, 26/02",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 25/02",34%
PIRACICABA,3538709,407252,SP,"quarta-feira, 24/02",39%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 23/02",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 22/02",35%
PIRACICABA,3538709,407252,SP,"domingo, 21/02",42%
PIRACICABA,3538709,407252,SP,"s�bado, 20/02",37%
PIRACICABA,3538709,407252,SP,"sexta-feira, 19/02",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 18/02",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 17/02",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 16/02",36%
PIRACICABA,3538709,407252,SP,"segunda-feira, 15/02",38%
PIRACICABA,3538709,407252,SP,"domingo, 14/02",44%
PIRACICABA,3538709,407252,SP,"s�bado, 13/02",38%
PIRACICABA,3538709,407252,SP,"sexta-feira, 12/02",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 11/02",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 10/02",35%
