,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2019,Impostos,104393.81395348837,104393.81395348837,12223.732788372094,11.71,12223.732788372094,11.71,92170.08116511628,1,2019,2019-02-20,0.43
abril 2019,Impostos,78753.22807017545,78753.22807017545,18438.092163157897,23.41,27659.504617543862,35.12,51093.72345263158,2,2019,2019-04-20,0.57
junho 2019,Impostos,4488934.0,4488934.0,664000.2573,14.79,2240592.0205,49.91,2248341.9795,3,2019,2019-06-20,0.01
agosto 2019,Impostos,408084.9090909091,408084.9090909091,58886.81599090909,14.43,262576.99967272725,64.34,145507.90941818184,4,2019,2019-08-20,0.11
outubro 2019,Impostos,448893.4,448893.4,65114.89337,14.51,353949.59301,78.85,94943.80699,5,2019,2019-10-20,0.1
dezembro 2019,Impostos,39034.208695652174,39034.208695652174,6143.804097391305,15.74,36922.029576521745,94.59,2112.179119130435,6,2019,2019-12-20,1.15
fevereiro 2020,Impostos,191040.0,191040.0,24469.142832,12.81,24469.142832,12.81,166570.857168,1,2020,2020-02-20,0.25
abril 2020,Impostos,-154064.51612903224,-154064.51612903224,-33954.93403870968,22.04,-53688.113741935485,34.85,-100376.40238709675,2,2020,2020-04-20,-0.31
junho 2020,Impostos,183692.3076923077,183692.3076923077,22243.41725,12.11,86256.16825,46.96,97436.1394423077,3,2020,2020-06-20,0.26
agosto 2020,Impostos,199000.0,199000.0,28825.951775000005,14.49,122270.13404583333,61.44,76729.86595416667,4,2020,2020-08-20,0.24
outubro 2020,Impostos,55534.88372093024,55534.88372093024,8284.117426744186,14.92,42406.0153,76.36,13128.868420930234,5,2020,2020-10-20,0.86
fevereiro 2019,Taxas,12357.581395348838,12357.581395348838,755.8159418604652,6.12,755.8159418604652,6.12,11601.765453488373,1,2019,2019-02-20,0.43
abril 2019,Taxas,9322.38596491228,9322.38596491228,2683.535938596491,28.79,3253.712877192982,34.9,6068.673087719299,2,2019,2019-04-20,0.57
junho 2019,Taxas,531376.0,531376.0,81927.5366,15.42,267389.1706,50.32,263986.8294,3,2019,2019-06-20,0.01
agosto 2019,Taxas,48306.90909090909,48306.90909090909,5335.939672727273,11.05,29644.04609090909,61.37,18662.863,4,2019,2019-08-20,0.11
outubro 2019,Taxas,53137.6,53137.6,4787.89754,9.01,37396.34824,70.38,15741.25176,5,2019,2019-10-20,0.1
dezembro 2019,Taxas,4620.660869565218,4620.660869565218,376.2263747826087,8.14,3628.0827434782605,78.52,992.5781260869567,6,2019,2019-12-20,1.15
fevereiro 2020,Taxas,22606.0,22606.0,1273.502216,5.63,1273.502216,5.63,21332.497784,1,2020,2020-02-20,0.25
abril 2020,Taxas,-18230.645161290322,-18230.645161290322,-5012.314016129032,27.49,-6039.331932258064,33.13,-12191.31322903226,2,2020,2020-04-20,-0.31
junho 2020,Taxas,21736.53846153846,21736.53846153846,2298.1966653846152,10.57,9498.938584615385,43.7,12237.599876923077,3,2020,2020-06-20,0.26
agosto 2020,Taxas,23547.916666666668,23547.916666666668,3250.4443458333335,13.8,13540.961145833335,57.5,10006.955520833333,4,2020,2020-08-20,0.24
outubro 2020,Taxas,6571.511627906977,6571.511627906977,597.034076744186,9.09,4375.906954651163,66.59,2195.604673255814,5,2020,2020-10-20,0.86
fevereiro 2019,Contribuição de Melhoria,545.0,545.0,2.961355813953489,0.54,2.961355813953489,0.54,542.0386441860464,1,2019,2019-02-20,0.43
abril 2019,Contribuição de Melhoria,411.14035087719304,411.14035087719304,2.381636842105263,0.58,4.615642105263158,1.12,406.52470877192985,2,2019,2019-04-20,0.57
junho 2019,Contribuição de Melhoria,23435.0,23435.0,94.66030000000002,0.4,357.7519,1.53,23077.2481,3,2019,2019-06-20,0.01
agosto 2019,Contribuição de Melhoria,2130.4545454545455,2130.4545454545455,10.194590909090909,0.48,42.717490909090905,2.01,2087.737054545454,4,2019,2019-08-20,0.11
outubro 2019,Contribuição de Melhoria,2343.5,2343.5,11.49958,0.49,58.48882,2.5,2285.01118,5,2019,2019-10-20,0.1
dezembro 2019,Contribuição de Melhoria,203.7826086956522,203.7826086956522,0.975993043478261,0.48,6.0619773913043495,2.97,197.72063130434782,6,2019,2019-12-20,1.15
fevereiro 2020,Contribuição de Melhoria,600.0,600.0,2.696728,0.45,2.696728,0.45,597.303272,1,2020,2020-02-20,0.25
