,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2019,RECEITAS CORRENTES,1856.1113833081233,1856.1113833081233,299.24119261022594,16.12,299.24119261022594,16.12,1556.8701906978977,1.0,2019.0,2019-02-20,92.18681122198316
abril 2019,RECEITAS CORRENTES,1831.852617063506,1831.852617063506,335.39141849218663,18.31,630.7216269839089,34.43,1201.130990079597,2.0,2019.0,2019-04-20,93.40761811629307
junho 2019,RECEITAS CORRENTES,1829.2913713357575,1829.2913713357575,262.2747926679161,14.34,892.1145620954563,48.77,937.1768092403014,3.0,2019.0,2019-06-20,93.53840092464623
agosto 2019,RECEITAS CORRENTES,1823.8161112264058,1823.8161112264058,276.12135974012057,15.14,1165.5657297867037,63.91,658.2503814397023,4.0,2019.0,2019-08-20,93.8192116226781
outubro 2019,RECEITAS CORRENTES,1822.7232063918543,1822.7232063918543,306.30231031601346,16.8,1471.169585684407,80.71,351.5536207074473,5.0,2019.0,2019-10-20,93.87546562196702
dezembro 2019,RECEITAS CORRENTES,1792.8566352057828,1792.8566352057828,309.4523446273463,17.26,1756.5158065714381,97.97,36.34082863434507,6.0,2019.0,2019-12-20,95.43930414735041
fevereiro 2020,RECEITAS CORRENTES,1862.3246387563413,1862.3246387563413,308.2752531632431,16.55,308.2752531632431,16.55,1554.049385593098,1.0,2020.0,2020-02-20,95.87882600277499
abril 2020,RECEITAS CORRENTES,1866.8090314073168,1866.8090314073168,337.2220965076948,18.06,646.2396623971907,34.62,1220.5693690101264,2.0,2020.0,2020-04-20,95.64850876331589
junho 2020,RECEITAS CORRENTES,1869.0703822814312,1869.0703822814312,271.05766304341495,14.5,918.0801450010766,49.12,950.9902372803549,3.0,2020.0,2020-06-20,95.53278554553334
agosto 2020,RECEITAS CORRENTES,1857.906888634109,1857.906888634109,308.07042215058385,16.58,1220.6671022358332,65.7,637.239786398276,4.0,2020.0,2020-08-20,96.10680766207365
outubro 2020,RECEITAS CORRENTES,1830.3508828783404,1830.3508828783404,294.2243716678896,16.07,1496.786847724196,81.78,333.56403515414434,5.0,2020.0,2020-10-20,97.55369949569847
dezembro 2020,RECEITAS CORRENTES,1790.0389375,1790.0389375,299.67566347654997,16.74,1763.4970343553503,98.52,26.541903144649996,6.0,2020.0,2020-12-20,99.75062344139651
agosto 2017,,,,,,,,,,,,87.05887507294624
