item,preço
Açúcar Refinado UNIÃO Pacote 1kg,"R$3,49"
Açúcar Refinado CARAVELAS Pacote 1kg,"R$3,19"
Açúcar Refinado QUALITÁ Pacote 1kg,"R$2,99"
Açúcar Refinado Granulado em Cubos UNIÃO Pote 250g,"R$10,29"
Açúcar Refinado UNIÃO 1kg - Pacote com 10 Unidades,"R$34,90"
Açúcar mascavo especial 500g,INDISPONÍVEL
Açúcar de Coco a granel - 50g,INDISPONÍVEL
Sal Refinado CISNE Pacote 1kg,"R$2,29"
Sal Refinado LEBRE Pacote 1kg,"R$1,85"
Sal Refinado QUALITÁ Pacote 1kg,"R$1,59"
Açúcar Mascavo a granel - 50g,INDISPONÍVEL
Sal Refinado Light LEBRE Pacote 500g,INDISPONÍVEL
