,item,preço
0,"Açúcar Refinado União 1kg
0
R$ 3,29","R$ 3,29"
1,"Açúcar Refinado Da Barra 1kg
5
R$ 2,98","R$ 2,98"
2,"Açúcar Guarani Refinado 1kg
0
R$ 2,89","R$ 2,89"
3,"Açúcar União Refinado 5kg
0
R$ 15,19","R$ 15,19"
4,"Açúcar União Refinado Granulado Com 40 200g
0
R$ 3,25","R$ 3,25"
5,"Açúcar Demerara União Naturalle 1kg
5
R$ 5,39
R$ 3,99","R$ 3,99"
6,"Açúcar Demerara Native Orgânico 1kg
0
R$ 6,15","R$ 6,15"
7,"Açúcar Cristal União Orgânico 1kg
0
R$ 4,29","R$ 4,29"
8,"Açúcar Cristal Colombo 2kg
0
R$ 6,15","R$ 6,15"
9,"Açúcar Cristal Colombo 5kg
0
R$ 14,29","R$ 14,29"
10,"Açúcar Guarani Cristal 5kg
0
R$ 13,25","R$ 13,25"
11,"Açúcar Cristal Colombo 1kg
0
R$ 3,08","R$ 3,08"
12,"Açúcar Cristal Native Orgânico 1kg
0
R$ 5,35","R$ 5,35"
13,"Açúcar Mascavo Natu's 1kg
0
R$ 15,45","R$ 15,45"
14,"Açúcar Cristal União 5kg
0
R$ 14,29","R$ 14,29"
15,"Açúcar Demerara Da Barra Natural 1kg
0
R$ 3,55
R$ 2,99","R$ 2,99"
16,"Açúcar Cristal Purinha 5kg
0
R$ 13,79","R$ 13,79"
17,"Açúcar Cristal Purinha 2kg
0
R$ 5,89","R$ 5,89"
18,"Açúcar Glaçúcar 500g
0
R$ 3,55","R$ 3,55"
19,"Açúcar Jasmine Orgânico Mascavo 500g
0
R$ 11,85","R$ 11,85"
20,"Açúcar Magro Light 500g
0
R$ 9,15","R$ 9,15"
21,"Açúcar Jasmine Mascavo 1kg
5
R$ 15,45","R$ 15,45"
22,"Açúcar Mascavo União 1kg
0
R$ 17,50","R$ 17,50"
23,"Açúcar Mãe Terra Mascavo Orgânico 400g
0
R$ 11,35
30% off na 2ª unidade
cada uni. sai por R$ 9,65","R$ 11,35"
24,"Açúcar de Coco Qualicoco 100g
0
R$ 8,35","R$ 8,35"
25,"Açúcar União Torrado 250g
0
R$ 8,35","R$ 8,35"
26,"Açúcar União Premium 1kg
0
R$ 5,75","R$ 5,75"
27,"Açúcar de Coco Angélica 250g
0
R$ 19,75","R$ 19,75"
28,"Açúcar de Coco Copra 350g
0
R$ 28,09","R$ 28,09"
29,"Açúcar Mascavo Angélica Com Canela 70g
0
R$ 5,69","R$ 5,69"
30,"Refrigerante Coca-Cola Zero Açúcar 200ml
0
R$ 1,19
R$ 0,99","R$ 0,99"
31,"Refrigerante Coca-Cola Zero Açúcar 1,5l
0
R$ 6,05","R$ 6,05"
32,"Refrigerante Coca-Cola Zero Açúcar 220ml
0
R$ 1,79","R$ 1,79"
33,"Refrigerante Coca-Cola Zero Açúcar 2l
0
R$ 7,69","R$ 7,69"
34,"Refrigerante Coca-Cola Zero Açúcar 310ml
0
R$ 2,55","R$ 2,55"
35,"Refrigerante Coca-Cola Zero Açúcar 600ml
0
R$ 4,25","R$ 4,25"
36,"Refrigerante Coca-Cola Zero Açúcar 350ml
0
R$ 2,85","R$ 2,85"
37,"Refrigerante Coca Cola Sem Açúcar 1l
0
R$ 5,08","R$ 5,08"
38,"Suco Néctar Del Valle Zero Açúcar Uva 1l
0
R$ 7,39
R$ 5,59","R$ 5,59"
39,"Suco Néctar Del Valle Zero Açúcar Cajú 1l
0
R$ 7,39
R$ 5,59","R$ 5,59"
