,item,preço
0,Arroz Tipo 1 Empório São João Pacote 5Kg,"R$ 27,90"
1,Arroz Tipo 1 Raroz Embalagem 5Kg,"R$ 22,49"
2,Arroz Tipo 1 Broto Legal Pacote 5Kg,"R$ 26,90"
3,Arroz Prato Fino Branco Tipo 1 Pacote 5Kg,"R$ 28,90"
4,Arroz Tipo 1 Guacira Pacote 5Kg,"R$ 21,99 R$ 24,90"
5,Arroz Integral Prato Fino Pacote 1Kg,"R$ 10,90"
6,Arroz de Pilão Albaruska Pacote 2Kg,"R$ 16,90"
7,Arroz Tipo 1 Dona Milu Pacote 5Kg,"R$ 22,99"
8,Arroz Tipo 1 Valle Branco Pacote 5Kg,"R$ 28,90"
9,Arroz Tipo 1 Valle Branco Pacote 2Kg,"R$ 14,90"
10,Arroz Integral Valle Branco Embalagem 1 Kg,"R$ 9,49"
11,Arroz Tipo 1 Guacira Pacote 2Kg,"R$ 12,49"
