item,preço
Arroz Tipo 1 Raroz - 5kg,"R$ 20,75"
Arroz Tipo 1 Solito Pacote 5kg,"R$ 23,53"
Arroz Branco Prato Fino Tipo 1 - 5kg,"R$ 28,67"
Arroz Prato Fino Tipo 1 Parboilizado - 5kg,"R$ 26,42"
Arroz Parboilizado Tipo 1 Tio João Pacote 5kg,"R$ 28,13"
Arroz Polido Tipo 1 Pilecco Nobre Pacote 5kg,"R$ 27,49"
Arroz Camil Momiji Tipo 1 - 5kg,"R$ 35,19"
Arroz Polido Tipo 1 Broto Legal Pacote 5kg,"R$ 28,34"
Arroz Parboilizado Aro - 5kg,"R$ 21,71"
Arroz Polido Longo e Fino T1 Empório São João - 5kg,"R$ 28,34"
Arroz Branco Tipo 1 Aro - 5kg,"R$ 21,29"
Arroz Parboilizado Aro - 5kg,"R$ 21,71"
Arroz Branco Tipo 1 Dona Milu - 5kg,"R$ 19,78"
