,item,preço
0,"Arroz Namorado Tipo 1 5kg
0
R$ 23,98","R$ 23,98"
1,"Arroz Camil Tipo 1 5kg
5
R$ 24,99","R$ 24,99"
2,"Arroz Japonês Momiji 5kg
0
R$ 40,19
R$ 31,90","R$ 31,90"
3,"Arroz Raroz Tipo 1 5kg
0
R$ 21,98","R$ 21,98"
4,"Arroz Pilecco Tipo 1 5kg
0
R$ 26,99","R$ 26,99"
5,"Arroz Serrazul Tipo 1 5kg
0
R$ 22,99","R$ 22,99"
6,"Arroz Pateko Tipo 1 5kg
0
R$ 22,99","R$ 22,99"
7,"Arroz Albaruska Integral Pilão 5kg
0
R$ 35,29","R$ 35,29"
8,"Arroz Joli Premium 5kg
0
R$ 24,99","R$ 24,99"
9,"Arroz Prato Fino Tipo 1 5kg
5
R$ 28,90","R$ 28,90"
10,"Arroz Broto Legal Tipo 1 5kg
5
R$ 26,90
R$ 22,90","R$ 22,90"
11,"Arroz Empório São João Tipo 1 5kg
0
R$ 27,99","R$ 27,99"
12,"Arroz Albaruska Pilão Tipo 1 5kg
0
R$ 29,99","R$ 29,99"
13,"Arroz Tio João Tipo 1 5kg
0
R$ 28,90","R$ 28,90"
14,"Arroz Camil Parbolizado Tipo 1 5kg
0
R$ 25,49","R$ 25,49"
15,"Arroz Namorado Parboilizado Tipo 1 5kg
0
R$ 24,19","R$ 24,19"
16,"Arroz Prato Fino Parboilizado Tipo 1 5kg
0
R$ 30,59","R$ 30,59"
17,"Arroz Tio João Parboilizado Tipo 1 5kg
0
R$ 29,48","R$ 29,48"
18,"Arroz Broto Legal Parboilizado 5kg
0
R$ 32,65","R$ 32,65"
19,"Arroz Broto Legal 1kg
0
R$ 7,45","R$ 7,45"
20,"Arroz Camil 2kg
0
R$ 11,35","R$ 11,35"
21,"Arroz Italiano Paganini Arbório 1kg
0
R$ 16,49","R$ 16,49"
22,"Arroz Camil 1kg
0
R$ 6,39","R$ 6,39"
23,"Arroz Albaruska Integral Pilão 1kg
0
R$ 7,05","R$ 7,05"
24,"Arroz Namorado Tipo 1 1kg
0
R$ 5,95","R$ 5,95"
25,"Arroz Camil Orgânico 1kg
0
R$ 7,65","R$ 7,65"
26,"Arroz Albaruska Pilão 2kg
0
R$ 14,05","R$ 14,05"
27,"Arroz Tio João 1kg
0
R$ 7,15","R$ 7,15"
28,"Arroz Bary Arbório 1kg
0
R$ 18,45","R$ 18,45"
29,"Arroz Camil Culinária Italiana 1kg
0
R$ 11,05","R$ 11,05"
30,"Arroz Scotti Risoto 1kg
0
R$ 12,49","R$ 12,49"
31,"Arroz Urbano Arborio 1kg
0
R$ 16,49","R$ 16,49"
32,"Arroz Albaruska Integral Pilão 2kg
0
R$ 14,99","R$ 14,99"
33,"Arroz Joli Premium 2kg
0
R$ 11,35","R$ 11,35"
34,"Arroz Japonês Urbano Sushi 1kg
0
R$ 13,38","R$ 13,38"
35,"Arroz Italiano Biju 1kg
0
R$ 15,45","R$ 15,45"
36,"Arroz Raris 1kg Int.
0
R$ 6,09","R$ 6,09"
37,"Arroz Scotti Contorni 1kg
0
R$ 18,99","R$ 18,99"
38,"Arroz Camil Integral Tipo 1 1kg
0
R$ 6,45","R$ 6,45"
39,"Arroz Prato Fino Tipo 1 2kg
0
R$ 13,55","R$ 13,55"
