item,preço
Arroz Tipo 1 Camil 5kg,"R$ 21,39 un."
Arroz Tipo 1 Solito 5kg,"R$ 20,39 un."
Arroz Tipo 2 Camil 5kg,"R$ 20,29 un."
Arroz Tipo 1 Prato Fino 5kg,"R$ 26,49 un."
Arroz Tipo 1 Máximo 5Kg,"R$ 21,79 un."
Arroz Tipo 1 Albaruska 5kg,"R$ 28,59 un."
Arroz Tipo 1 Visconde 5kg,"R$ 20,29 un."
Arroz Tipo 1 Raroz 5Kg,"R$ 21,59 un."
Arroz Tipo 1 Biju 5kg,"R$ 21,89 un."
Arroz Tipo 1 Namorado 5Kg,"R$ 19,89 un."
Arroz Integral Camil 1kg,"R$ 5,19 un."
Arroz Tipo 1 Serra Azul 5kg,"R$ 19,69 un."
Arroz Tipo 1 Tio Urbano 5kg,"R$ 22,39 un."
Arroz Tipo 1 Blue Ville 5kg,"R$ 20,39 un."
Arroz Tipo 1 Broto Legal 5kg,"R$ 25,09 un."
Arroz Tipo 1 Tio João 5kg,"R$ 26,69 un."
Arroz Tipo 1 Empório São João 5kg,"R$ 25,39 un."
Arroz Tipo 1 Solito 1Kg,"R$ 4,69 un."
Arroz Tipo 1 Blue Ville 1kg,"R$ 5,09 un."
Arroz Tipo 1 Prato Fino 1kg,"R$ 6,59 un."
