,item,preço
0,Banana Nanica,"R$ 4,49 kg"
1,Banana Prata Kg,"R$ 5,99 kg"
2,Banana da Terra,"R$ 5,99 kg"
3,Banana Maçã,"R$ 10,90 kg"
4,Banana Ouro,"R$ 6,99 kg"
5,Bala de Banana Oliveira Pacote 80G,"R$ 3,69"
6,Biscoito Amanteigado Mabel Banana e Canela 330G,"R$ 6,59"
7,Biscoito Banana Aveia e Canela Nesfit 160G,"R$ 3,89"
8,Iogurte Leco Maça Banana Mamão 900G,"R$ 8,39"
9,Bala Gelatina Fini Bananas 100G,"R$ 6,99"
10,Cereal Matinal Grain Flakes Granola Integral Banana e Canela Jasmine 300G,"R$ 15,90"
11,Bebida Láctea Ninho Maçã e Banana 170G,"R$ 3,79"
