item,preço
Banana Prata - unidade,"R$ 1,07"
Kit 2 Shampoo + Condicionador Mix de Banana Tropical Meu Malvado Favorito Palmolive Kids 350ml Cada,"R$ 24,89"
Sabonete Líquido Mix de Banana Tropical Meu Malvado Favorito Palmolive Kids Frasco 240ml,"R$ 14,93"
Bala de Gelatina Go Jelly Banana - 250g,"R$ 6,20"
Papinha Naturnes NESTLÉ Maçã e Banana 120g,"R$ 4,44"
Iogurte Frutap Açai com Banana - 900g,"R$ 6,05"
Iogurte Frutap Açaí com Banana - 180g,"R$ 1,70"
Bala Gelatinas Fini Banana - 500g,"R$ 18,82"
Bala de Gelatina Fini Bananas - 250g,"R$ 11,29"
Sabonete em Barra Mix de Banana Tropical Meu Malvado Favorito Palmolive Kids Caixa 85g,"R$ 2,94"
"Biscoito Integral Banana, Aveia & Canela Nestlé Nesfit Pacote 160g","R$ 3,19"
"Leite Fermentado Integral Linhaça, Morango & Banana Activia Café da Manhã Pote 170g","R$ 4,01"
Cereal Nutry Banana Aveia e Mel - 24x22g,"R$ 27,17"
Bala de Gelatina Bananas Haribo - 100g,"R$ 5,19"
Sorbet Açai Aro com Banana - 750ml,"R$ 16,21"
Barra de Cereal Aro Bananan Aveia e Mel - 12x25g,"R$ 9,68"
Barra de Cereal Aro Banana e Chocolate Light - 12x25g,"R$ 9,68"
Barra de Cereais Banana com Canela Zero com 3 Unidades 66g,"R$ 5,45"
Bolinho Cereale Banana Bauducco 35g,"R$ 1,59"
Sabonete Líquido Mix de Banana Tropical Meu Malvado Favorito Palmolive Kids Sachê 480ml Refil Leve Mais Pague Menos,"R$ 20,99"
"Doce De Banana Pote M&K - 1,1kg","R$ 18,82"
Bala de Banana Oliveira - 600g,"R$ 15,25"
Doce Banana Oliveira - 600g,"R$ 21,71"
Tocata Banana Passas e Chocolate Montevergine - 80g,"R$ 7,22"
Papinha Naturnes NESTLÉ Banana com Aveia 120g,"R$ 2,88"
Barra de Cereais com Banana Aveia e Mel M&K - 3x25g,"R$ 2,45"
Goma Gelatina Dori Banana Embalagem 85G,"R$ 3,63"
Bebida Láctea UHT Banana Zero Lactose Yopro 15g High Protein Caixa 250ml,"R$ 6,69"
Pack Barra de Frutas Banana com Cobertura de Chocolate Nutry Pacote 60g 3 Unidades,"R$ 8,34"
Iogurte Líquido Ninho Maçã e Banana 850g,"R$ 10,43"
Bala Gelatinas Fini Bananas - 100g,"R$ 5,66"
Queijo Petit Suisse Morango & Banana Danoninho para Levar Pouch 70g,"R$ 2,56"
Açaí Frooty Banana com Granola - 200ml,"R$ 8,12"
Biscoito Amanteigado de Banana e Canela Bauducco - 375g,"R$ 7,59"
