item,preço
Banana Prata 1kg,"R$8,47"
Banana Nanica 1kg,"R$6,99"
Granola QUALITÁ Banana e Quinua Pacote 200g,"R$5,99"
Banana Desidratada TAEQ Pacote 55g,"R$7,99"
Mini Cookies Integrais MÃE TERRA Banana E Cacau Orgânico 120g,INDISPONÍVEL
Banana Terra 1 kg,"R$12,39"
Purê de Frutas Banana e Maçã PIC-ME 100g,INDISPONÍVEL
"NESTON Vitamina - Pó para preparo instantâneo Morango, Pera e Banana 400g","R$13,49"
Banana Passa BRASIL Pacote 86g,"R$4,79"
Banana Passa Orgânica BIO DA TERRA 200g,INDISPONÍVEL
"Aveia com Mamão, Banana, Maçã, Iogurte e Mel TAEQ 200g","R$3,99"
NINHO Bebida Vegetal Banana e Maçã 200ml,"R$3,99"
