item,preço
Banana Marmelo Bandeja 700g,"R$ 7,33"
Iogurte Líquido Lacfree 500g Zero Lactose Banana Maçã Mamão,"R$ 9,58"
Iogurte Liquido Lacfree 170g Zero Lactose Banana Maca Mamao,"R$ 4,09"
Bala Banana Falex 140g Sem Acucar,"R$ 6,19"
Cereal Mucilon 180g Sc Zero Açúcar Banana Maçã Quinoa,"R$ 6,99"
Iogurte Liquido Ninho 100g Lancheirinha Maca E Banana,"R$ 2,79"
Iogurte Liquido Danoninho 100g Banana E Maca,"R$ 2,09"
Iogurte Líquido Batavo 170g Banana Maçã Cereal,"R$ 1,98"
Iogurte Liquido Vigor 250g Protein Banana,"R$ 8,59"
Iogurte Liquido Ninho 170g Maca E Banana,"R$ 2,29"
Banana Palito Falex 160g,"R$ 6,37"
Iogurte Líquido Batavo 900g Banana Maçã Cereal,"R$ 7,99"
Iogurte Líquido Batavo 1250g Banana Maçã Cereal,"R$ 9,98"
Iogurte Lacfree Natural 140g Banana Maca Mamao,"R$ 3,98"
Iogurte Lacfree Natural Whey 250g 14g Banana,"R$ 8,78"
Bolinho Bauducco Cereale 35g Banana,"R$ 1,58"
"Vitamina Neston Maçã, Banana Mamão 400g","R$ 12,90"
Bolo Pullman 280g Redondo Artesano Banana Canela,"R$ 10,98"
Alimento Infantil Nestlé 120g Banana E Aveia,"R$ 5,19"
"Vitamina Neston Morango, Pera E Banana 400g","R$ 12,90"
Alimento Infantil Nesté 120g Maçã E Banana,"R$ 5,19"
Alimento Infantil Nestlé Naturnes 120g Orgânico Banana,"R$ 6,99"
Biscoito Infantil Natures 42g Banana Laranja,"R$ 3,99"
Cereal Milnutri 180g Arroz Banana E Maca,"R$ 5,77"
Alimento Infantil Nestlé Naturnes 120g Orgânico Uva-Banana,"R$ 6,99"
Biscoito Infantil Natures 42g Banana Morango,"R$ 3,99"
Doce Banana Falex 160g,"R$ 6,37"
Biscoito Nesfit 160g Banana E Canela,"R$ 2,69"
Granola Mãe Terra 800g Banana E Cacau,"R$ 35,90"
Biscoito Cookie Nestlé Nesfit 60g Banana,"R$ 1,99"
Granola Mãe Terra 250g Banana E Cacau,"R$ 14,90"
Bombom Banana Flormel 60g Sem Açúcar,"R$ 11,80"
