item,preço
Bala de Banana Oliveira 80g,"R$ 1,89 un."
Uva Mista Bandeja 500g,"R$ 9,89 un."
Pera Importada 1kg,"R$ 8,99 un."
Abacaxi Pérola Unidade,"R$ 6,99 un."
Granola Banana e Cacau Mãe Terra 800g,"R$ 26,79 un."
Iogurte Banana Maçã e Cereal Batavo 170g,"R$ 1,69 un."
Maçã Red Kg,"R$ 11,49 un."
Maçã Gala Kg,"R$ 7,89 un."
Uva Thompson Bandeja 500g,"R$ 10,89 un."
Laranja Pera Saco 18Kg,"R$ 33,89 un."
Granola com Banana e Mel Granatus 1kg,"R$ 22,59 un."
Granola com Banana e Mel Kobber 1kg,"R$ 28,09 un."
Bala Banana Oliveira 700g,"R$ 11,89 un."
Iogurte sabor Banana e Maçã Para Beber Danoninho Pack 600g,"R$ 10,19 un."
"Açaí Banana Frooty 3,6Kg","R$ 64,69 un."
"Doce de Banana Gulosina 1,3kg","R$ 21,19 un."
Iogurte Para Beber Sabor Banana e Mamão Danoninho 100g,"R$ 2,39 un."
Iogurte sabor Açaí com Banana Frutap 900g,"R$ 5,49 un."
Iogurte Sabor Açaí com Banana Frutap 180g,"R$ 1,49 un."
Iogurte sabor Maçã com Banana Ninho 850g,"R$ 9,59 un."
