item,preço
Batata Comum Pacote 1kg,"R$8,39"
Batata Palito Congelada QUALITÁ Pacote 2Kg,"R$19,99"
"Batata para Assar e Cozinhar QUALITÁ Pacote 1,5kg",INDISPONÍVEL
Batata Pacote 1kg - PRA VALER,INDISPONÍVEL
Batata Palha Tradicional Elma Chips Sachê 110G,"R$4,95"
Batata Aperitivo QUALITÁ Pacote 1kg,INDISPONÍVEL
Batata Palha Tradicional Elma Chips Pacote 70G,"R$3,85"
Batata Frita Lisa Clássica Lays Pacote 96G,"R$7,49"
Batata Inglesa Orgânica TAEQ 600g,"R$10,39"
"Vegpão de Mandioca, Batata e Mandioquinha Sabor Queijo TAEQ 400g","R$15,99"
Batata Frita Sabor Original PRINGLES 114g,"R$10,79"
Batata Doce Rosada 1kg,INDISPONÍVEL
