,item,preço
0,"Batata 1 Unidade 300g
0
R$ 1,50
R$ 0,90
1 unidade aproximadamente 0,300 kg Preço por KG R$ 2,99","R$ 0,90"
1,"Batata Doce Rosada 1 Unidade 362g
0
R$ 2,53
1 unidade aproximadamente 0,362 kg Preço por KG R$ 6,99","R$ 2,53"
2,"Batata Pirulito Kg
0
R$ 13,98
1 unidade aproximadamente 2,000 kg Preço por KG R$ 6,99","R$ 13,98"
3,"Batata Asterix Pacote 2Kg
0
R$ 11,98
1 unidade aproximadamente 2,000 kg Preço por KG R$ 5,99","R$ 11,98"
4,"Batata Doce Branca 1 Unidade 566g
0
R$ 3,96
1 unidade aproximadamente 0,566 kg Preço por KG","R$ 3,96"
5,"Batata Doce Rosada Bandeja Kg
0
R$ 9,67
1 unidade aproximadamente 1,100 kg Preço por KG","R$ 9,67"
6,"Batata Doce Branca Bandeja Kg
0
R$ 2,64
1 unidade aproximadamente 0,300 kg Preço por KG","R$ 2,64"
7,"Batata Palito Mccain Tradicional Congelada 1,5kg
0
R$ 28,85
R$ 22,98","R$ 22,98"
8,"Batata Palha Na Mesa Extra Fina 100g
0
R$ 6,15","R$ 6,15"
9,"Batata Palito Mccain Tradicional Congelada 720g
0
R$ 14,35
R$ 11,99","R$ 11,99"
10,"Batata Palha Terrinha Tradicional 120g
0
R$ 5,08","R$ 5,08"
11,"Batata Palha Terrinha Extra Fina 120g
0
R$ 5,08","R$ 5,08"
12,"Batata Palha Na Mesa Tradicional 110g
0
R$ 6,15","R$ 6,15"
13,"Batata Mccain Forno Tradicional Congelada 600g
0
R$ 14,59","R$ 14,59"
14,"Batata Smiles Mccain Congelada 500g
0
R$ 13,38","R$ 13,38"
15,"Batata Palha Yoki Tradicional 105g
0
R$ 5,79","R$ 5,79"
16,"Batata Palha Preciosa 500g
5
R$ 12,75","R$ 12,75"
17,"Batata Palha Elma Chips Na Mesa 490g
0
R$ 20,69","R$ 20,69"
18,"Batata Palito Mccain Corte Fino Congelada 400g
0
R$ 9,29
R$ 7,98","R$ 7,98"
19,"Batata Bint Congelado 2kg
0
R$ 19,98","R$ 19,98"
20,"Batata Mccain Noisettes 500g
0
R$ 13,38","R$ 13,38"
21,"Batata Palha Na Mesa Tradicional 250g
0
R$ 12,18","R$ 12,18"
22,"Batata Frita Lay's Sal/Vinagre 86g
0
R$ 9,05","R$ 9,05"
23,"Batata Palha Yoki Extrafina 100g
0
R$ 6,05","R$ 6,05"
24,"Salgadinho Batata Mr. Potato Cebola 130g
0
R$ 9,59
R$ 7,99","R$ 7,99"
25,"Batata Palha Na Mesa Tradicional 70g
0
R$ 4,25","R$ 4,25"
26,"Batata Palha Biscoitone 150g
0
R$ 6,05","R$ 6,05"
27,"Batata Rústica Mccain Congelada 720g
0
R$ 17,49","R$ 17,49"
28,"Batata Palha Yoki Extrafina Cebola/Salsa 100g
0
R$ 5,79","R$ 5,79"
29,"Batata Mccain Mini Rosti 400g
0
R$ 12,35","R$ 12,35"
30,"Batata Canoa Mccain Congelada 500g
0
R$ 12,89","R$ 12,89"
31,"Batata Frita Lay's Cheese 86g
0
R$ 9,05","R$ 9,05"
32,"Batata Palha Yoki Extrafina 240g
0
R$ 13,99","R$ 13,99"
33,"Batata Uni Sabor Tradicional 2kg
0
R$ 24,98
R$ 17,90","R$ 17,90"
34,"Batata Delly Fries Congelada 1,5kg
0
R$ 19,55","R$ 19,55"
35,"Batata Palha Kisabor Tradicional 100g
0
R$ 4,79","R$ 4,79"
36,"Batata Palha Kisabor Extrafina 100g
0
R$ 4,49","R$ 4,49"
37,"Batata Pré Frita Sadia Congelada Canoa 1,05kg
0
R$ 22,98","R$ 22,98"
38,"Batata Palha Visconti Extra Fina 120g
0
R$ 6,79","R$ 6,79"
39,"Batata Frita Lay's American Barbecue 86g
0
R$ 9,05","R$ 9,05"
