item,preço
Salgadinho Batata Stax 156g Cheddar,"R$ 16,29"
Batata Congelada Bem Brasil 2kg Palito Mais Batata,"R$ 14,65"
"Batata Congelada Bem Brasil 1,05kg Palito","R$ 14,79"
"Batata Congelada Crinkle Bem Brasil 1,05kg","R$ 14,79"
Batata Doce Roxa Bandeja 900g,"R$ 6,02"
Batata Mccain Rustica 720g Cong,"R$ 12,90"
Batata Cong Bint 2kg Palito,"R$ 25,90"
"Batata Congelada Bem Brasil 1,05kg Corte Especial","R$ 14,79"
"Batata Congelada Bem Brasil 1,05kg Rustica","R$ 14,79"
Batata Doce Branca Bandeja 900g,"R$ 7,55"
Batata Smiles Mccain 500g Congelada,"R$ 9,90"
"Batata Congelada Sadia 1,05kg Palito","R$ 18,06"
Batata Mccain Tradicional 1.5kg Congelada,"R$ 18,90"
Batata Mccain Tradicional 600g Cong Forno,"R$ 9,90"
Batata Congelada Sadia 400g Letrinhas,"R$ 9,76"
Salgadinho Batata Ruffles 84g Original,"R$ 4,99"
Batata Palito Congelada Mccain 720g,"R$ 12,90"
Salgadinho Batata Lays 96g Sour Cream,"R$ 8,38"
Salgadinho Batata Tonys 100g Original,"R$ 9,49"
Salgadinho Batata Pringles 41g Original,"R$ 6,59"
Salgadinho Batata Ruffles 167g Original,"R$ 11,48"
Salgadinho Batata Tyrrells 150g Sal Marinho,"R$ 25,98"
Salgadinho Batata Yokitos 45g Ondulada Natural,"R$ 3,18"
Batata Palha Elma Chips Extra Fina 100g,"R$ 5,79"
Salgadinho Batata 45g Sensacoes Peito Peru,"R$ 5,38"
Salgadinho Batata Ruffles 57g Original,"R$ 4,78"
Salgadinho Batata Ruffles 300g Original,"R$ 19,58"
Salgadinho Batata Ruffles 84g Cebola E Salsa,"R$ 4,99"
Salgadinho Batata Pringles 114g Original,"R$ 11,79"
Salgadinho Batata Lays 86g American Barbecue,"R$ 8,38"
Salgadinho Batata Lays 86g Cheese,"R$ 8,38"
Salgadinho Batata Sensação 80g Frango Grelhado,"R$ 8,38"
