item,preço
Batata Palito Coolmind 2kg,"R$ 15,50 un."
Batata Palha Extrafina Kisabor 100g,"R$ 4,49 un."
Batata Palha Na Mesa Elma Chips 110g,"R$ 5,49 un."
"Batata Congeladas Carinhas Bem Brasil 1,05kg","R$ 16,50 un."
"Batata Congelada Cortes Finos McCain 2,25kg","R$ 24,70 un."
Batata Chips Big Onda Carimar 90g,"R$ 3,79 un."
Batata Sabor Queijo Pringles 120g,"R$ 9,29 un."
Batata Ruffles Original 300g,"R$ 15,49 un."
Batata Chips Cebola e Salsa Karitos 40g,"R$ 1,89 un."
Batata Chips Tradicional Karitos 40g,"R$ 1,89 un."
Batata Lays American Barbecue Elma Chips 86g,"R$ 7,39 un."
Batata Lays Clássica Elma Chips 96g,"R$ 7,09 un."
Batata Lays Sour Cream Elma Chips 96g,"R$ 7,59 un."
Batata Ruffles 57g,"R$ 4,19 un."
Batata Ruffles Churrasco 57g,"R$ 4,19 un."
Batata Ruffles Cebola e Salsa 57g,"R$ 4,19 un."
Batata Ruffles Original 167g,"R$ 10,89 un."
Batata Ruffles Cebola e Salsa 167g,"R$ 10,89 un."
Batata Congelada McCain 2kg,"R$ 19,10 un."
Batata Palha Extra Fina Yoki 240g,"R$ 12,19 un."
