,item,preço
0,Café Morro Grande Tradicional Embalagem 500G,"R$ 9,89"
1,Café Piracicabano Embalagem 500G,"R$ 8,69"
2,Café 3 Corações Tradicional Pacote 500G,"R$ 10,98"
3,Café 3 Corações Extra Forte 500G,"R$ 10,98"
4,Café Torrado e Moído Fort Pacote 500G,"R$ 8,90"
5,Café Pilão Tradicional Almofada 500G,"R$ 10,58"
6,Café Solúvel 3 Corações Tradiconal Vidro 100G,"R$ 11,90"
7,Café 3 Corações Premium Estrada Real Pacote 500G,"R$ 12,90"
8,Café com Leite 3 Corações 100G,"R$ 4,99"
9,Café Solúvel 3 Corações Tradicional Vidro 50G,"R$ 7,39"
10,Café 3 Corações Premium Estrada Real a Vácuo 500G,"R$ 12,90"
11,Café 3 Corações Cápsulas Expresso Atento 80G,"R$ 18,29"
