,item,preço
0,"Café Moraes A Vácuo 500g
0
R$ 7,45","R$ 7,45"
1,"Café Moraes 500g
0
R$ 7,45","R$ 7,45"
2,"Café Melitta Tradicional A Vácuo 500g
0
R$ 11,75","R$ 11,75"
3,"Café Canecão Tradicional 500g
0
R$ 8,25","R$ 8,25"
4,"Café Caboclo A Vácuo 500g
0
R$ 9,59","R$ 9,59"
5,"Café 3 Corações Tradicional 500g
0
R$ 10,48","R$ 10,48"
6,"Café Cassiano Torrado/Moído 500g
0
R$ 9,29","R$ 9,29"
7,"Café Solúvel Nescafé Original 50g
0
R$ 4,85
R$ 3,59","R$ 3,59"
8,"Café Melitta Sabor Da Fazenda Tradicional A Vácuo 500g
0
R$ 13,38","R$ 13,38"
9,"Café Pilão Tradicional A Vácuo 500g
0
R$ 11,35
R$ 9,29","R$ 9,29"
10,"Café Canecão Extra Forte A Vácuo 500g
0
R$ 8,25","R$ 8,25"
11,"Cafe Melitta Extra Forte 500g
0
R$ 11,75","R$ 11,75"
12,"Café Caboclo 500g
0
R$ 9,59","R$ 9,59"
13,"Café Solúvel Nescafé Matinal 50g
0
R$ 4,85
R$ 3,59","R$ 3,59"
14,"Café Melitta Extra Forte A Vácuo 500g
0
R$ 11,75","R$ 11,75"
15,"Café Solúvel Nescafé Tradição 50g
0
R$ 4,85
R$ 3,59","R$ 3,59"
16,"Café Solúvel Melitta 50g
0
R$ 4,35","R$ 4,35"
17,"Café Pilão Tradicional 500g
0
R$ 11,35
R$ 9,29","R$ 9,29"
18,"Café Melitta Tradicional 500g
0
R$ 11,75","R$ 11,75"
19,"Café 3 Corações Extra Forte 500g
0
R$ 10,48","R$ 10,48"
20,"Café Caboclo Extra Forte A Vácuo 500g
0
R$ 9,59","R$ 9,59"
21,"Café Canecão Extra Forte 500g
0
R$ 8,25","R$ 8,25"
22,"Café 3 Corações Descafeinado A Vácuo 250g
0
R$ 8,25","R$ 8,25"
23,"Café Cassiano Tradicional A Vácuo 500g
0
R$ 9,29","R$ 9,29"
24,"Café Caboclo Tradicional Leve 500g Pague 475g
0
R$ 8,60","R$ 8,60"
25,"Café Solúvel 3 Corações Tradicional 50g
0
R$ 4,35
R$ 3,49","R$ 3,49"
26,"Café Pelé Extra Forte A Vácuo 500g
0
R$ 9,29","R$ 9,29"
27,"Café Caboclo Extra Forte 500g
0
R$ 9,59","R$ 9,59"
28,"Café Bom Jesus Tradicional 500g
0
R$ 9,29","R$ 9,29"
29,"Café Solúvel Melitta Extra Forte 50g
0
R$ 4,35","R$ 4,35"
30,"Café Do Ponto Exportação A Vácuo 500g
0
R$ 14,00
R$ 11,90","R$ 11,90"
31,"Café Do Ponto Tradicional A Vácuo 500g
0
R$ 14,00
R$ 11,90","R$ 11,90"
32,"Café Solúvel Nescafé Original Extra Forte 100g
0
R$ 11,35","R$ 11,35"
33,"Café Melitta Regiões Brasileiras Mogiana 250g
0
R$ 9,29","R$ 9,29"
34,"Café Solúvel 3 Corações Descafeinado 50g
0
R$ 6,59","R$ 6,59"
35,"Café Melitta Regiões Brasileiras Sul Minas 250g
0
R$ 9,29","R$ 9,29"
36,"Café Em Grãos Melitta Expresso 1kg
0
R$ 43,25","R$ 43,25"
37,"Café 3 Corações Gourmet A Vácuo 250g
0
R$ 8,25","R$ 8,25"
38,"Café Solúvel 3 Corações Com Leite 330g
0
R$ 15,59","R$ 15,59"
39,"Café Monte Cristino 500g
0
R$ 11,25","R$ 11,25"
