item,preço
Cafe Utam 500g,"R$ 9,79"
Cafe La Sante 500g,"R$ 8,49"
Café 3 Corações 500g Vac Tradicional,"R$ 9,99"
Cafe 3 Coracoes 500g Stand Tradic,"R$ 9,99"
Cafe Caboclo 500g Vacuo Extra Forte,"R$ 8,78"
Cafe Melitta 500g Tradicional,"R$ 10,90"
Café Starbucks 250g House Blend,"R$ 25,70"
Cafe La Sante 500g Vac,"R$ 8,49"
Cafe Caboclo 500g A Vacuo,"R$ 8,78"
Cafe Pilao 500g Vac,"R$ 11,90"
Cafe Grao Evolutto 1k Expresso,"R$ 31,90"
Café Starbucks 86g Sachê Latte Caramel,"R$ 19,90"
Cafe La Sante 500g Extra Forte Pouch,"R$ 8,49"
Café Melitta 250g Regiões Brasileiras Cerrado,"R$ 8,99"
Café Pilão 500g Vácuo Cafeteria Espresso,"R$ 13,90"
Cafe Gourmet La Sante 500g Supreme Blend,"R$ 10,90"
Cafe Melitta 500g Sb Faz Tradic,"R$ 14,80"
Cafe Evolutto 500g Trad,"R$ 8,59"
Cafe 3 Coracoes 500g Stand Ext Forte,"R$ 9,99"
Cafe Utam 500g Extra Forte,"R$ 9,79"
Café Starbucks 250g Verona,"R$ 25,70"
Cafe 3 Coracoes 500g Vac Premium,"R$ 11,90"
Cafe Vasconcelos 500g Vac Extra Forte,"R$ 7,45"
Cafe Evolutto 500g Vac Extra Forte,"R$ 8,59"
Café Melitta 250g Regiões Brasileiras Mogiana,"R$ 8,99"
Cafe Grao Lor Forza 500g,"R$ 28,90"
Café 3 Corações 250g Rituais Sul De Minas,"R$ 14,90"
Café Starbucks 250g Pike Place Roast,"R$ 25,70"
Café Pilão 500g Tradicional,"R$ 11,90"
Cafe Soluvel Nescafe 100g Vidro Original,"R$ 10,90"
Café Nescafé 250g Lata Origens Serra Alto Parnaíba,"R$ 13,90"
Cafe Soluvel Nescafe 100g Vidro Tradicao,"R$ 10,90"
