item,preço
Café Grãos Espresso Superior Ituano 1kg,"R$ 24,49 un."
Café Extraforte a Vácuo Pelé 500g,"R$ 8,19 un."
Café Tradicional a Vácuo Pilão 500g,"R$ 10,99 un."
Café à Vácuo Descafeinado Pilão 250g,"R$ 9,09 un."
Café Almofada Extraforte Select 500g,"R$ 6,59 un."
Café a Vácuo Extraforte Select 500g,"R$ 6,59 un."
Café Gourmet Mogiana Paulista 3 Corações 250g,"R$ 7,09 un."
Café Gourmet Cerrado Mineiro 3 Corações 250g,"R$ 9,59 un."
Café Extraforte a Vácuo Pilão 500g,"R$ 10,99 un."
Café Almofada Extra Forte Moka 500g,"R$ 6,99 un."
Café Tradicional Bom Jesus 500g,"R$ 9,19 un."
Café Extraforte Pilão 500g,"R$ 10,99 un."
Café Torrado e Moído Almofada Fort 500g,"R$ 7,68 un."
Café Extra Forte Brasileiro 500g,"R$ 7,79 un."
Café Tradicional a Vácuo Brasileiro 500g,"R$ 7,79 un."
Café Extra Forte Brasileiro 250g,"R$ 4,49 un."
Café Vácuo Premium 3 Corações 500g,"R$ 11,19 un."
Café Tradicional Torrado e Moído Sabor da Fazenda Melitta 500g,"R$ 12,69 un."
Café Pilão Espresso torrado em grãos sachê 1kg,"R$ 36,69 un."
Café Vácuo Extra Forte 3 Corações 250g,"R$ 5,09 un."
