,item,preço
0,"Coxão Duro Bovino Resfriado Kg
0
R$ 18,99
1 unidade aproximadamente 0,500 kg Preço por KG R$ 37,98","R$ 18,99"
1,"Coxão Mole Bovino Resfriado Kg
0
R$ 39,98
1 unidade aproximadamente 1,000 kg Preço por KG R$ 39,98","R$ 39,98"
2,"Coxão Mole Bovino Resfriado Bandeja Kg
0
R$ 25,79
1 unidade aproximadamente 0,600 kg Preço por KG R$ 42,98","R$ 25,79"
3,"Carne Suína Coxão Duro Sadia Congelada Kg
0
R$ 20,54
1 unidade aproximadamente 0,934 kg Preço por KG R$ 21,99","R$ 20,54"
4,"Coxão Bola Bovino Vpj Capitão Congelado Kg
0
R$ 179,70
1 unidade aproximadamente 3,000 kg Preço por KG","R$ 179,70"
5,"Carne Suína Coxão Mole Sadia Congelada Kg
0
R$ 20,36
1 unidade aproximadamente 0,970 kg Preço por KG","R$ 20,36"
6,"Macarrão Grano Duro Barilla Spaghetti N. 7 500g
0
R$ 10,49","R$ 10,49"
7,"Macarrão Grano Duro Barilla Penne Rigate 500g
0
R$ 11,99","R$ 11,99"
8,"Macarrão Grano Duro Renata Superiore Penne 500g
0
R$ 6,05","R$ 6,05"
9,"Macarrão Grano Duro Renata Superiore Linguine 500g
0
R$ 6,05","R$ 6,05"
10,"Macarrão Grano Duro Barilla Fusilli 500g
0
R$ 11,99","R$ 11,99"
11,"Macarrão Grano Duro Barilla Spaghetti N. 3 500g
0
R$ 10,49","R$ 10,49"
12,"Macarrão Grano Duro Renata Superiore Spaghetti N. 8 500g
0
R$ 6,05","R$ 6,05"
13,"Macarrão Grano Duro Barilla Spaghetti N. 5 500g
0
R$ 10,49","R$ 10,49"
14,"Macarrão Grano Duro Barilla Bavette 500g
0
R$ 10,49","R$ 10,49"
15,"Macarrão Grano Duro Renata Superiore Fusilli 500g
0
R$ 6,05","R$ 6,05"
16,"Macarrão Grano Duro Barilla Farfalle 500g
0
R$ 11,99","R$ 11,99"
17,"Macarrão Grano Duro Barilla Capellini N. 1 500g
0
R$ 10,49","R$ 10,49"
18,"Macarrão Grano Duro Renata Superiore Spaghetti N. 10 500g
0
R$ 6,05","R$ 6,05"
19,"Macarrão Grano Duro Barilla Integrale Penne Rigate 500g
0
R$ 13,55","R$ 13,55"
20,"Macarrão Grano Duro Renata Superiore Tagliarini 500g
0
R$ 6,85","R$ 6,85"
21,"Macarrão Grano Duro Renata Superiore Capeli D'Angelo 500g
0
R$ 6,85","R$ 6,85"
22,"Macarrão Grano Duro Barilla Rigatoni 500g
0
R$ 11,99","R$ 11,99"
23,"Macarrão Grano Duro Renata Superiore Pappardelle 200g
0
R$ 4,79","R$ 4,79"
24,"Macarrão Grano Duro Barilla Fusilli Integral 500g
0
R$ 13,55","R$ 13,55"
25,"Macarrão Grano Duro Renata Tricolori Penne 500g
0
R$ 6,05","R$ 6,05"
26,"Macarrão Grano Duro Renata Superiore Farfalle 500g
0
R$ 6,85","R$ 6,85"
27,"Macarrão Grano Duro Barilla Spaghetti Sem Glúten 400g
0
R$ 18,75
R$ 16,99","R$ 16,99"
28,"Macarrão Grano Duro Renata Tricolori Fusilli 500g
0
R$ 6,05","R$ 6,05"
29,"Macarrão Grano Duro Barilla Farfale Integral 500g
0
R$ 13,55","R$ 13,55"
30,"Macarrão Grano Duro Renata Superiore Tagliarini 200g
0
R$ 4,79","R$ 4,79"
31,"Macarrão Grano Duro Barilla Spaghetti 5 Cereali 400g
0
R$ 13,09","R$ 13,09"
32,"Macarrão Barilla Grano Duro Risoni 500g
0
R$ 10,39","R$ 10,39"
33,"Fígado Bovino Congelado Kg
5
R$ 7,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 7,99"
34,"Rabo Bovino Congelado Kg
0
R$ 40,47
1 unidade aproximadamente 1,500 kg Preço por KG","R$ 40,47"
35,"Cuscuz Barilla Grano Duro 500g
0
R$ 20,59
R$ 18,99","R$ 18,99"
36,"Macarrão Garofalo Cappelletti 500g
0
R$ 14,55","R$ 14,55"
37,"Macarrão Garofalo Pappardelle 500g
0
R$ 18,49","R$ 18,49"
38,"Macarrão Garofalo Conchiglioni 500g
0
R$ 18,49","R$ 18,49"
39,"Macarrão Garofalo Gigantoni 500g
0
R$ 18,49","R$ 18,49"
