,item,preço
0,Coxão Mole Açougue,"R$ 38,99 kg"
1,Carne Moída de 2°,"R$ 33,99 kg"
2,Filé de Frango Açougue,"R$ 12,99 kgR$ 15,99"
3,Sobrecoxa Resfriada Açougue,"R$ 13,99 kg"
4,Bisteca Suína Açougue,"R$ 16,99 kgR$ 18,99"
5,Coxa e Sobrecoxa de Frango Açougue,"R$ 9,90 kg"
6,Pernil Suíno Dianteiro,"R$ 14,99 kg"
7,Peito de Frango com Osso Resfriado Açougue,"R$ 7,99 kgR$ 10,99"
8,Coxa e Sobrecoxa de Frango sem Osso,"R$ 16,99 kg"
9,Patinho Bovino,"R$ 37,99 kg"
10,Frango a Passarinho Temperado Kg,"R$ 13,99 kg"
11,Copa Lombo Suína,"R$ 18,99 kg"
