,item,preço
0,"Coxão Mole Bovino Resfriado Kg
0
R$ 39,98
1 unidade aproximadamente 1,000 kg Preço por KG R$ 39,98","R$ 39,98"
1,"Coxão Mole Bovino Resfriado Bandeja Kg
0
R$ 25,79
1 unidade aproximadamente 0,600 kg Preço por KG R$ 42,98","R$ 25,79"
2,"Carne Suína Coxão Mole Sadia Congelada Kg
0
R$ 20,36
1 unidade aproximadamente 0,970 kg Preço por KG R$ 20,99","R$ 20,36"
3,"Coxão Duro Bovino Resfriado Kg
0
R$ 18,99
1 unidade aproximadamente 0,500 kg Preço por KG R$ 37,98","R$ 18,99"
4,"Coxão Bola Bovino Vpj Capitão Congelado Kg
0
R$ 179,70
1 unidade aproximadamente 3,000 kg Preço por KG","R$ 179,70"
5,"Carne Suína Coxão Duro Sadia Congelada Kg
0
R$ 20,54
1 unidade aproximadamente 0,934 kg Preço por KG","R$ 20,54"
6,"Doce Salmão Maria Mole 150g
0
R$ 7,29","R$ 7,29"
7,"Pó Maria Mole Dr. Oetker Coco 50g
0
R$ 4,05
R$ 2,99","R$ 2,99"
8,"Pó Maria Mole Dr. Oetker Morango 50g
0
R$ 4,05
R$ 2,99","R$ 2,99"
9,"Fígado Bovino Congelado Kg
5
R$ 7,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 7,99"
10,"Rabo Bovino Congelado Kg
0
R$ 40,47
1 unidade aproximadamente 1,500 kg Preço por KG","R$ 40,47"
11,"Músculo Bovino Resfriado Kg
0
R$ 16,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,99"
12,"Contrafilé Bovino Resfriado Bandeja 500g
0
R$ 23,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 23,49"
13,"Acém Bovino Resfriado Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
14,"Patinho Bovino Resfriado Kg
0
R$ 19,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 19,99"
15,"Filé Mignon Bovino Resfriado Kg
0
R$ 32,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 32,99"
16,"Lagarto Bovino Resfriado Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
17,"Contrafilé Bovino Leve Mais Resfriado Kg
0
R$ 81,84
1 unidade aproximadamente 1,780 kg Preço por KG","R$ 81,84"
18,"Patinho Bovino Bandeja Resfriado Kg
0
R$ 25,19
1 unidade aproximadamente 0,600 kg Preço por KG","R$ 25,19"
19,"Miolo De Acém Bovino Resfriado Kg
0
R$ 12,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 12,99"
20,"Miolo De Alcatra Bovino Resfriado Bandeja Kg
0
R$ 28,19
1 unidade aproximadamente 0,600 kg Preço por KG","R$ 28,19"
21,"Espetinho De Kafta Leve Mais Congelado Kg
0
R$ 21,98
1 unidade aproximadamente 1,000 kg Preço por KG","R$ 21,98"
22,"Músculo Bovino Bandeja Resfriado Kg
0
R$ 16,19
1 unidade aproximadamente 0,600 kg Preço por KG","R$ 16,19"
23,"Cupim Bovino Resfriado Kg
0
R$ 15,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 15,99"
24,"Peixinho Bovino Resfriado Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
25,"Bistecão Bovino Resfriado Kg
0
R$ 11,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 11,49"
26,"Lagarto Bovino Bandeja Resfriado Kg
0
R$ 17,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 17,49"
27,"Osso Buco Bovino Congelado Kg
0
R$ 13,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 13,49"
28,"Miolo De Paleta Bovino Resfriado Kg
0
R$ 13,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 13,49"
29,"Capa De File Bovino Resfriada Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
30,"Bucho Bovino Congelado Kg
0
R$ 9,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 9,99"
31,"Miúdo Bovino Mocotó Bandeja Kg
0
R$ 7,19
1 unidade aproximadamente 0,600 kg Preço por KG","R$ 7,19"
32,"Mocoto Bovino Congelado Kg
0
R$ 27,45
1 unidade aproximadamente 2,500 kg Preço por KG","R$ 27,45"
33,"Contrafilé Bovino Peca Resfriado Kg
0
R$ 17,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 17,99"
34,"Espetinho Bovino Leve Mais Temperado Resfriado Kg
0
R$ 18,19
1 unidade aproximadamente 0,700 kg Preço por KG","R$ 18,19"
35,"Miúdo Bovino Fígado Bandeja Kg
0
R$ 7,14
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 7,14"
36,"Ponta De Peito Bovino Com Osso Resfriado Kg
0
R$ 11,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 11,49"
37,"Ponta De Peito Bovino Sem Osso Especial Bandeja Resfriada Kg
0
R$ 23,09
1 unidade aproximadamente 0,700 kg Preço por KG","R$ 23,09"
38,"Ponta de Peito Bovina Sem Osso Resfriada Kg
0
R$ 31,98
1 unidade aproximadamente 1,000 kg Preço por KG","R$ 31,98"
39,"Filé Mignon Bovino Especial Bandeja Resfriado Kg
0
R$ 20,99
1 unidade aproximadamente 0,300 kg Preço por KG","R$ 20,99"
