,item,preço
0,Farinha de Trigo Dona Benta sem Fermento 1Kg,"R$ 4,99"
1,Farinha de Trigo Globo Original Papel 1Kg,"R$ 3,49 R$ 3,79"
2,Farinha de Trigo Venturelli Pacote 1Kg,"R$ 5,19"
3,Farinha Láctea Nestlé Tradicional 400G,"R$ 9,80 R$ 11,49"
4,Farinha de Trigo Anaconda Premium Pacote 1Kg,"R$ 5,39"
5,Farinha de Milho Flocada Yoki Kimilho Flocão 500G,"R$ 4,89"
6,Farinha de Rosca Padaria,"R$ 7,99"
7,Farinha de Trigo Integral Famiglia Venturelli Pacote 1Kg,"R$ 5,89"
8,Farinha de Aveia Integral Quaker 165G,"R$ 2,69 R$ 2,99"
9,Farinha de Linhaça Marrom Grings Embalagem 200G,"R$ 8,89"
10,Farinha de Mandioca Fina Angélica 500G,"R$ 4,79"
11,Farinha de Trigo Guacira Speciale Embalagem 1Kg,"R$ 5,39"
