item,preço
Farinha de Trigo Especial para Pizza Anaconda 5kg,"R$ 15,29 un."
Flocos de Milho Pré-Cozido Xodomilho 500g,"R$ 1,29 un."
Farinha de Trigo Tradicional Premium 101 1kg,"R$ 3,19 un."
Farinha de Trigo Rosa Branca 1kg,"R$ 3,39 un."
Farinha de Mandioca Bijú Yoki 500g,"R$ 6,59 un."
Farinha de Trigo Especial para Pizza Mirella 5kg,"R$ 13,19 un."
Farinha de Trigo Especial para Pizza 101 5kg,"R$ 13,39 un."
Farinha de Trigo Especial 101 25kg,"R$ 69,29 un."
Farinha de Trigo Especial para Pastel e Massas Frescas Suprema Bunge 5kg,"R$ 15,59 un."
Farinha de Trigo Especial para Pastel Dona Benta 5kg,"R$ 13,49 un."
Farinha de Trigo Primor 1Kg,"R$ 2,79 un."
Farinha de Trigo Select 1kg,"R$ 2,29 un."
Fécula de Mandioca Pandora 25kg,"R$ 91,69 un."
Fécula de Batata Yoki 200g,"R$ 8,29 un."
Trigo para Kibe Yoki 5kg,"R$ 26,59 un."
Mistura para Pão Francês BTX 25kg,"R$ 71,29 un."
"Purê de Batata Knorr 1,01Kg","R$ 25,99 un."
Mistura para Pão Queijo Yoki 250g,"R$ 5,79 un."
Mistura para Pão Francês Santa Clara 25kg,"R$ 65,09 un."
Purê de Batata Instantâneo em Flocos Boizinho 1kg,"R$ 23,89 un."
