,item,preço
0,Feijao Carioca Broto Legal 1Kg,"R$ 9,89"
1,Feijão Carioca Valle Branco Pacote 1Kg,"R$ 9,89"
2,Feijao Carioca Pantera 1Kg Tp1 Com,"R$ 9,49"
3,Feijão Carioca Empório São João Pacote 1Kg,"R$ 8,99"
4,Feijão Carioca Zamuner Embalagem 1Kg,"R$ 9,89"
5,Feijao Preto Broto Legal 1Kg,"R$ 12,90"
6,Feijão Preto Zamuner Embalagem 1Kg,"R$ 12,99"
7,Feijão Bolinha Valle Branco 1Kg,"R$ 15,90"
8,Feijão Preto Valle Branco 1Kg,"R$ 12,90"
9,Feijão Carioca Zaza Embalagem 1Kg,"R$ 8,99"
10,Feijão de Corda,"R$ 4,99 kg"
11,Feijão Branco Angélica Embalagem 500G,"R$ 11,90"
