item,preço
Feijão Carioca Tipo 1 CAMIL Pacote 1kg,"R$7,99"
Feijão Carioca Tipo 1 KICALDO Pacote 1kg,"R$7,69"
Feijão Preto Tipo 1 Qualitá Pacote 1kg,"R$7,99"
Feijão Carioca Tipo 1 Pantera Premium Pacote 1kg,"R$8,99"
Feijão Fradinho Tipo 1 Qualitá Pacote 500g,INDISPONÍVEL
Feijão Branco Tipo 1 Qualitá Pacote 500g,INDISPONÍVEL
Feijoada Cozida a Vapor VAPZA Caixa 500g,"R$28,39"
Feijão Carioca Cozido a Vapor VAPZA Caixa 500g,"R$17,39"
Feijão Carioca BROTO LEGAL Pacote 1kg,"R$7,99"
Feijão Preto Tipo 1 CAMIL Pacote 1kg,"R$8,49"
Feijão Carioca Orgânico Cozido no Vapor VAPZA Caixa 250g,"R$8,99"
Feijão Fradinho PANTERA Pacote 1kg,"R$11,99"
