item,preço
Feijão Preto Tipo 1 Broto Legal Pacote 1kg,"R$ 7,89"
Feijão Carioca Patéko Tipo 1 - Pacote 1kg,"R$ 7,48"
Feijão Preto Aro 1kg,"R$ 7,79"
Feijão Carioca Empório São João - 1kg,"R$ 7,15"
Feijão Fradinho Tipo 1 Camil - 1kg,"R$ 8,12"
Feijão Branco Tipo 1 M&K - 500g,"R$ 6,69"
Feijão Fradinho M&K - 500g,"R$ 4,59"
Tempero em Pó para Feijão Knorr Pacote 48g 6 Unidades,"R$ 3,91"
"Tempero em Pó para Feijão Cebola, Louro e Bacon Mais Sabor Kitano Pacote 60g 12 Unidades","R$ 3,26"
Maggi Sopão Feijão com Macarrão Sachê 213g,"R$ 5,87"
Sopão Feijão Kitano Sachê 196g,"R$ 5,30"
Tempero para Feijão Sazón Pacote 60g 12 Unidades,"R$ 3,80"
Ingredientes para Feijoada Defumado Frimesa Pacote 800g,"R$ 21,13"
Feijoada Pronta Perdigão - 800 g,"R$ 21,92"
