item,preço
Feijão Carioca Tipo 1 Select 1kg,"R$ 5,89 un."
Feijão Carioca da Casa 1kg,"R$ 5,89 un."
Feijão Carioca Tipo 1 Camil 1kg,"R$ 6,89 un."
Feijão Preto Tipo 1 Kicaldo 1kg,"R$ 7,69 un."
Feijão Carioca Vila Nova 1Kg,"R$ 5,89 un."
Feijão Carioca Broto Legal 1kg,"R$ 7,89 un."
Feijão Carioca Tipo 1 Kicaldo 1kg,"R$ 6,29 un."
Feijão Fradinho Tipo 1 5 Estrelas 1Kg,"R$ 6,89 un."
Feijão Fradinho Kicaldo 1Kg,"R$ 7,09 un."
Feijão Branco Kicaldo 1kg,"R$ 10,19 un."
Feijão Rajado Kicaldo 1Kg,"R$ 8,89 un."
Feijão Preto Tipo 1 5 Estrelas 1Kg,"R$ 7,09 un."
Feijão Preto Tipo 1 Select 1kg,"R$ 7,39 un."
Feijão Preto Camil 1kg,"R$ 8,09 un."
Sopão Kitano Feijão 196g,"R$ 7,09 un."
Tempero Meu Feijão Caseiro Knorr 48g,"R$ 4,29 un."
Sopão Mais Macarrão Knorr Feijão 194g,"R$ 10,49 un."
"Tempero Mais Sabor Kitano para Feijão, Ovos e Arroz 60g","R$ 2,89 un."
Macarrão Instantâneo Renata Lamen Feijão Bacon 96g,"R$ 1,09 un."
Papinha Sabor Beterraba Caldo de Feijão e Legumes Nestlé 115g,"R$ 3,99 un."
