,item,preço
0,Leite Uht Italac Integral 1L,"R$ 3,49"
1,Leite Condensado Semidesnatado Piracanjuba 395G,"R$ 5,89"
2,Leite Condensado Moça 395G,"R$ 6,49"
3,Leite Condensado Italac Semidesnatado 395G,"R$ 5,99"
4,Leite Semidesnatado Italac Longa Vida Caixa 1L,"R$ 3,49"
5,Leite Condensado Moça Semidesnatado 405G,"R$ 6,69"
6,Leite Fermentado Chamyto 450G 6 Unidades,"R$ 7,59"
7,Leite em Pó Ninho Forti+ Integral 400G,"R$ 17,99"
8,Leite Italac com Tampa Desnatado 1L,"R$ 3,49"
9,Leite Piracanjuba Zero Lactose 1L,"R$ 4,99"
10,Leite Ninho Integral 1 Litro,"R$ 4,99"
11,Leite Integral Piracanjuba 1L,"R$ 3,29"
