item,preço
Bebida Láctea Uht Chocolate Toddynho Caixa 200Ml,"R$1,95"
Leite Desnatado Molico Zero Lactose 1 Litro,INDISPONÍVEL
Leite Paulista EDGE Desnatado 1L,"R$3,99"
Leite Semidesnatado sem Lactose ITALAC 1 Litro,INDISPONÍVEL
Leite Integral SHEFA Garrafa 1 Litro,"R$3,79"
Leite Desnatado Molico Zero Lactose 1L,INDISPONÍVEL
Leite Paulista EDGE Integral 1L,"R$3,99"
Leite Semidesnatado Piracanjuba Zero Lactose 1L,INDISPONÍVEL
Leite Integral JUSSARA Garrafa 1 Litro,"R$3,59"
Leite Longa Vida Integral ITALAC 1 Litro,"R$3,59"
Leite Longa Vida Integral LEITÍSSIMO 1 Litro,"R$6,99"
Leite Longa Vida Semidesnatado QUALITÁ 1 Litro,INDISPONÍVEL
