,item,preço
0,"Creme de Leite Letti Fresco 550g
0
R$ 25,75","R$ 25,75"
1,"Creme de Leite Letti Fresco Garrafa 1l
0
R$ 37,09","R$ 37,09"
2,"Leite Tipo A Letti 1l Integral
0
R$ 7,20","R$ 7,20"
3,"Leite Longa Vida Integral Ninho Zero Lactose 1l
0
R$ 5,15","R$ 5,15"
4,"Leite Longa Vida Paulista Origem 1l
0
R$ 3,59","R$ 3,59"
5,"Leite Longa Vida Molico Mais Proteí­na 1l
0
R$ 5,65","R$ 5,65"
6,"Leite Em Pó Itambé Integral 400g
0
R$ 14,15","R$ 14,15"
7,"Leite Em Pó Instantâneo Itambé 400g
0
R$ 14,15","R$ 14,15"
8,"Leite Xandô Zero Lactose Integral 1l
0
R$ 5,99","R$ 5,99"
9,"Composto Lácteo Ninho Instantâneo Forti+ 380g
0
R$ 15,15","R$ 15,15"
10,"Composto Lácteo Ninho Zero Lactose Forti+ 380g
0
R$ 21,89
R$ 17,90","R$ 17,90"
11,"Composto Lácteo Ninho Fases 1+ 800g
0
R$ 34,90","R$ 34,90"
12,"Composto Lácteo Ninho Fases 3+ 400g
0
R$ 17,99","R$ 17,99"
13,"Composto Lácteo Neslac Comfor 800g
0
R$ 37,90
R$ 35,90","R$ 35,90"
14,"Composto Lácteo Ninho Fases 1+ 400g
0
R$ 17,99","R$ 17,99"
15,"Composto Lácteo Ninho Zero Lactose Forti+ 700g
0
R$ 39,29","R$ 39,29"
16,"Composto Lácteo Ninho Forti+ Instantâneo Sachê 750g
0
R$ 34,25","R$ 34,25"
17,"Composto Lácteo Ninho Hora de Dormir 350g
0
R$ 20,19","R$ 20,19"
18,"Composto Lácteo Ninho Hora Da Escola 350g
0
R$ 18,69","R$ 18,69"
19,"Leite Longa Vida Piracanjuba Integral 1l
0
R$ 3,39","R$ 3,39"
20,"Leite Longa Vida Integral Italac 1l
5
R$ 3,29","R$ 3,29"
21,"Leite Longa Vida Integral Shefa 1l
0
R$ 3,70","R$ 3,70"
22,"Leite Longa Vida Integral Ninho Tradicional 1l
5
R$ 4,85","R$ 4,85"
23,"Leite Longa Vida Integral Líder 1l
5
R$ 3,35","R$ 3,35"
24,"Leite Longa Vida Italac Semi Desnatado 1l
0
R$ 3,29","R$ 3,29"
25,"Leite Longa Vida Bonolat Integral 1l
5
R$ 3,28","R$ 3,28"
26,"Leite Condensado Moça Semidesnatado 395g
5
R$ 5,80","R$ 5,80"
27,"Leite Longa Vida Desnatado Shefa 1l
0
R$ 3,70","R$ 3,70"
28,"Leite Longa Vida Italac Desnatado 1l
0
R$ 3,29","R$ 3,29"
29,"Leite Longa Vida Shefa Semi-Desnatado Garrafa 1l
0
R$ 3,70","R$ 3,70"
30,"Leite Longa Vida Semi-Desnatado Ninho Levinho 1l
0
R$ 4,85","R$ 4,85"
31,"Leite Longa Vida Semi-Desnatado Italac Zero Lactose 1l
0
R$ 4,35","R$ 4,35"
32,"Leite Longa Vida Semi-Desnatado Shefa Zero Lactose Garrafa 1l
0
R$ 4,45","R$ 4,45"
33,"Leite Longa Vida Desnatado Molico 1l
0
R$ 4,85","R$ 4,85"
34,"Leite Longa Vida Integral Paulista 1l
0
R$ 4,05","R$ 4,05"
35,"Leite Longa Vida Piracanjuba Desnatado 1l
0
R$ 3,39","R$ 3,39"
36,"Leite Longa Vida Piracanjuba Semi Desnatado 1l
0
R$ 3,39","R$ 3,39"
37,"Leite Longa Vida Semi-Desnatado Piracanjuba Zero Lactose 1l
0
R$ 4,65","R$ 4,65"
38,"Creme de Leite Cativa 200g
0
R$ 2,65","R$ 2,65"
39,"Leite Longa Vida Integral Nolac Zero Lactose 1l
0
R$ 4,75","R$ 4,75"
