item,preço
Leite Longa Vida Integral com Tampa Italac 1L,"R$ 3,79 un."
Leite Longa Vida Integral Ninho 1L,"R$ 4,89 un."
Leite Longa Vida Integral Tirol 1L,"R$ 3,29 un."
Leite Longa Vida Semidesnatado Levinho Ninho 1L,"R$ 5,09 un."
Leite Longa Vida Integral Jussara Garrafa 1L,"R$ 3,69 un."
Leite Longa Vida Zero Lactose Ninho 1L,"R$ 4,89 un."
Leite Longa Vida Semidesnatado com Tampa Italac 1L,"R$ 3,69 un."
Leite Integral Piracanjuba 1L,"R$ 3,69 un."
Leite Semidesnatado Piracanjuba 1L,"R$ 3,59 un."
Bebida de Amêndoas sabor Chocolate Almond Breeze 1L,"R$ 13,19 un."
Leite Longa Vida Desnatado Piracanjuba 1L,"R$ 3,59 un."
Leite Longa Vida Desnatado com Tampa Italac 1L,"R$ 3,39 un."
Leite Zero Lactose Semidesnatado Piracanjuba 1L,"R$ 4,29 un."
Leite Desnatado Pro Itambé 1L,"R$ 6,09 un."
Leite Zero Lactose Semidesnatado Italac 1L,"R$ 4,09 un."
Leite Longa Vida Desnatado Molico 1L,"R$ 4,89 un."
Mistura Láctea Creme de Leite Mococa 200g,"R$ 2,39 un."
Leite de Soja em Pó sem Lactose Supra Soy 300g,"R$ 19,49 un."
Creme de Leite CCGL 200g,"R$ 2,15 un."
Leite em Pó Integral Italac 800g,"R$ 21,09 un."
