,item,preço
0,Manteiga Aviação com Sal Pote 200G,"R$ 11,90"
1,Manteiga Aviação com Sal Pote 500G,"R$ 25,49"
2,Manteiga com Sal Itambé Primeira Qualidade Pote 500G,"R$ 25,90"
3,Manteiga Batavo Tablete com Sal 200G,"R$ 11,50"
4,Manteiga sem Sal Vigor Tablete 200G,"R$ 11,49"
5,Manteiga Itambé Extra com Sal Tablete 200G,"R$ 10,90"
6,Manteiga Relíquia da Canastra com Sal Embalagem 200G,"R$ 10,90"
7,Manteiga Aviação com Sal Lata 200G,"R$ 14,90"
8,Manteiga e Margarina Leco Extra Cremosa com Sal 200G,"R$ 12,49"
9,Manteiga Batavo com Sal Pote 200G,"R$ 12,49"
10,Manteiga e Margarina Leco Extra Cremosa sem Sal 200G,"R$ 12,49"
11,Manteiga Qualy Extra com Sal Pote 200G,"R$ 14,29"
