item,preço
Margarina Qualy com Sal 500g,"R$ 5,99 un."
Margarina Doriana com Sal 500g,"R$ 4,09 un."
Manteiga Extra Tourinho sem Sal Tablete 200g,"R$ 7,49 un."
Manteiga com Sal Tourinhos 200g,"R$ 8,09 un."
Manteiga com Sal Tourinhos 200g,"R$ 8,09 un."
Manteiga com Sal Tourinhos Lata 500g,"R$ 19,19 un."
Manteiga com Sal Zero Lactose Piracanjuba 200g,"R$ 9,39 un."
Manteiga com Sal Taubaté Pote 200g,"R$ 7,79 un."
Manteiga Aviação Tablete C/Sal 200Gr,"R$ 8,09 un."
Margarina Qualy com Sal 1kg,"R$ 9,15 un."
Margarina Delícia com Sal 1kg,"R$ 7,49 un."
Margarina Qualy Aerada com Sal 500G,"R$ 6,49 un."
Creme Vegetal Prime com Sal 500g,"R$ 2,09 un."
Margarina 50% Lipídios com Sal Sina 3kg,"R$ 22,19 un."
Margarina Becel sem Sal 500gr,"R$ 7,09 un."
Margarina com Manteiga sem Sal Vigor Mix 500g,"R$ 15,09 un."
Margarina Becel com sal sabor Manteiga 500gr,"R$ 7,09 un."
Banha Frimesa 1kg,"R$ 13,19 un."
Banha Aurora 1kg,"R$ 13,09 un."
Margarina Doriana 1kg,"R$ 7,59 un."
