,item,preço
0,Óleo de Soja Liza Embalagem 900Ml,"R$ 7,99"
1,Óleo de Soja Vila Velha Pet 900Ml,"R$ 7,39"
2,Óleo de Soja Soya Pet 900Ml,"R$ 7,99"
3,Óleo de Girassol Liza Pet 900Ml,"R$ 12,90"
4,Óleo Soja Leve 900Ml,"R$ 7,99"
5,Óleo de Milho Liza Pet 900Ml,"R$ 12,59"
6,Óleo de Canola Liza Pet 900Ml,"R$ 16,90"
7,Óleo de Girassol Salada Pet 900Ml,"R$ 12,90"
8,Óleo Composto Faisão Real Intenso Embalagem 500Ml,"R$ 9,89"
9,Óleo de Coco Extra Virgem Copra 200Ml,"R$ 27,90"
10,Óleo de Gergelim Kenko 100Ml,"R$ 13,89"
11,Óleo Composto Carmelita 500Ml,"R$ 13,90"
