,item,preço
0,Pão de Forma Panco Premium Pacote 500G,"R$ 7,29"
1,Pão de Forma Tradicional Pullman 500G,"R$ 6,89"
2,Pão de Forma Visconti Integral 400G,"R$ 7,60"
3,Pão de Forma Integral Wickbold Pacote 500G,"R$ 6,99"
4,Pão de Forma Seven Boys 450G,"R$ 5,69"
5,Pão de Forma Bauducco Tradicional 400G,"R$ 6,85"
6,Pão de Forma Artesano Pullman 500G,"R$ 9,49"
7,Pão de Forma Bauducco Integral 400G,"R$ 6,99"
8,Pão de Forma Artesano Integral Pullman 500G,"R$ 9,59"
9,Pão de Milho Panco Pacote 500G,"R$ 8,99"
10,Pão de Forma Wickbold Tradicional Pacote 500G,"R$ 5,89"
11,Pão Integral Wickbold Grão Castanha do Pará e Quinoa 500G,"R$ 10,99"
