,item,preço
0,"Pão Bisnaguinha Panco 300g
0
R$ 6,88","R$ 6,88"
1,"Pão de Forma Panco 500g
0
R$ 6,79","R$ 6,79"
2,"Pão de Forma Wickbold Integral 550g
0
R$ 7,15","R$ 7,15"
3,"Bisnaguinha Pullman 300g
0
R$ 7,20","R$ 7,20"
4,"Pão de Forma Pullman Artesano 500g
0
R$ 8,89","R$ 8,89"
5,"Pão de Forma Visconti Tradicional 400g
0
R$ 4,55","R$ 4,55"
6,"Pão de Forma Wickbold Grãos Castanha Do Pará/Quinua 500g
0
R$ 10,95","R$ 10,95"
7,"Pão de Milho Panco Caseiro 500g
0
R$ 8,25","R$ 8,25"
8,"Pão de Forma Wickbold Do Forno Integral 500g
5
R$ 9,45","R$ 9,45"
9,"Pão de Forma Wickbold Chia/Macadâmia 400g
0
R$ 9,88","R$ 9,88"
10,"Pão Bisnaguinha Seven Boys Original 300g
0
R$ 5,39","R$ 5,39"
11,"Pão de Forma Panco Sovado 500g
0
R$ 11,55","R$ 11,55"
12,"Bolo Ana Maria Coberto Com Chocolate 42g
0
R$ 1,75","R$ 1,75"
13,"Pão de Forma Bauducco Integral 400g
0
R$ 6,75","R$ 6,75"
14,"Pão de Forma Wickbold Castanha Do Pará/Quinoa 400g
5
R$ 9,88","R$ 9,88"
15,"Pão de Forma Pullman Integral 500g
0
R$ 7,45","R$ 7,45"
16,"Bolo Ana Maria Cenoura Com Chocolate 35g
0
R$ 1,75","R$ 1,75"
17,"Pão Egg Esponje Panco 250g
0
R$ 9,69","R$ 9,69"
18,"Massa Rap 10 Integral 330g
0
R$ 8,39","R$ 8,39"
19,"Pão de Forma Wickbold Grãos E Frutas Integral 500g
0
R$ 9,29","R$ 9,29"
20,"Bolo Ana Maria Com Gotas de Chocolate 35g
0
R$ 1,75","R$ 1,75"
21,"Bolo Ana Maria Chocolate/Baunilha 35g
0
R$ 1,75","R$ 1,75"
22,"Bisnaguinha Nutrella Cenoura Com Mandioquinha 300g
0
R$ 7,85","R$ 7,85"
23,"Massa Rap 10 330g
0
R$ 8,39","R$ 8,39"
24,"Pão de Alho Santa Massa Tradicional 400g
0
R$ 12,89","R$ 12,89"
25,"Bolo Panco Laranja 300g
0
R$ 8,09","R$ 8,09"
26,"Bolo Bauducco Roll Chocolate 34g
0
R$ 1,35","R$ 1,35"
27,"Pão de Forma Bauducco Tradicional 400g
0
R$ 5,75","R$ 5,75"
28,"Pão de Forma Panco Leite 500g
0
R$ 7,45","R$ 7,45"
29,"Bolo Ana Maria Chocolate 70g
0
R$ 3,65","R$ 3,65"
30,"Bolo Ana Maria Gotas de Chocolate 70g
0
R$ 3,65","R$ 3,65"
31,"Pão de Forma Wickbold Integral 400g
0
R$ 10,29
R$ 8,49","R$ 8,49"
32,"Pão Wickbold Hot Dog 200g
0
R$ 7,45","R$ 7,45"
33,"Pão de Forma Panco Integral 500g
0
R$ 7,95","R$ 7,95"
34,"Bolo Bauducco Duo Chocolate 27g
0
R$ 0,98","R$ 0,98"
35,"Pão de Forma Wickbold Do Forno Original 500g
0
R$ 8,49","R$ 8,49"
36,"Bolo Casa Suíça Castanha Do Pará Integral Zero Açúcar 35g
0
R$ 3,59","R$ 3,59"
37,"Pão Bisnaguinha Panco Integral 300g
0
R$ 6,99","R$ 6,99"
38,"Pão Wickbold Hambúrguer Tradicional 200g
0
R$ 7,45","R$ 7,45"
39,"Bolo Ana Maria Baunilha 70g
0
R$ 3,65","R$ 3,65"
