item,preço
Pão de Forma Pullman 500g,"R$ 4,99 un."
Pão de Forma Artesano Pullman 500g,"R$ 7,29 un."
Pão de Forma 12 Grãos Vitagrão Pullman 450g,"R$ 9,79 un."
Pão de Forma Integral Zero Plusvita 350g,"R$ 9,39 un."
Pão de Forma Integral Pullman 500g,"R$ 7,09 un."
Pão de Forma Nutrella 7 Grãos 400g,"R$ 10,49 un."
Pão de Forma Nutrella Grãos Castanhas 500g,"R$ 10,39 un."
Pão de Forma Wickbold Castanha Com Quinoa 500g,"R$ 10,69 un."
Pão de Forma Integral 100% Fit 12 Grãos Pullman 350g,"R$ 9,39 un."
Pão de Forma Integral Artesano Pullman 500g,"R$ 10,09 un."
Pão de Forma Integral sem Casca Pullman 450g,"R$ 12,69 un."
Pão de Forma Integral Kim 500g,"R$ 6,49 un."
Pão de Forma com Macadâmia e Chia Kim 400g,"R$ 8,39 un."
Pão de Forma Castanha do Pará e Quinoa Kim 400g,"R$ 7,99 un."
Pão de Forma Supreme Frutas Nutrella 600g,"R$ 10,69 un."
Pão de Forma Grão Sabor Wickbold 500g,"R$ 9,89 un."
Pão de Forma Tradicional Seven Boys 500g,"R$ 5,09 un."
Pão na Chapa Artesano Pullman 500g,"R$ 8,79 un."
Pão de Forma Integral Visconti 400g,"R$ 4,89 un."
Pão de Forma Integral Wickbold Fermentação Natural 370g,"R$ 6,29 un."
