,item,preço
0,"Patinho Bovino Resfriado Kg
0
R$ 19,99
1 unidade aproximadamente 0,500 kg Preço por KG R$ 39,98","R$ 19,99"
1,"Patinho Bovino Bandeja Resfriado Kg
0
R$ 25,19
1 unidade aproximadamente 0,600 kg Preço por KG R$ 41,98","R$ 25,19"
2,"Carne Suína Patinho Sadia Congelada Kg
0
R$ 18,81
1 unidade aproximadamente 0,896 kg Preço por KG R$ 20,99","R$ 18,81"
3,"Fígado Bovino Congelado Kg
5
R$ 7,99
1 unidade aproximadamente 0,500 kg Preço por KG R$ 15,98","R$ 7,99"
4,"Rabo Bovino Congelado Kg
0
R$ 40,47
1 unidade aproximadamente 1,500 kg Preço por KG","R$ 40,47"
5,"Músculo Bovino Resfriado Kg
0
R$ 16,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,99"
6,"Contrafilé Bovino Resfriado Bandeja 500g
0
R$ 23,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 23,49"
7,"Acém Bovino Resfriado Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
8,"Filé Mignon Bovino Resfriado Kg
0
R$ 32,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 32,99"
9,"Lagarto Bovino Resfriado Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
10,"Contrafilé Bovino Leve Mais Resfriado Kg
0
R$ 81,84
1 unidade aproximadamente 1,780 kg Preço por KG","R$ 81,84"
11,"Miolo De Acém Bovino Resfriado Kg
0
R$ 12,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 12,99"
12,"Miolo De Alcatra Bovino Resfriado Bandeja Kg
0
R$ 28,19
1 unidade aproximadamente 0,600 kg Preço por KG","R$ 28,19"
13,"Espetinho De Kafta Leve Mais Congelado Kg
0
R$ 21,98
1 unidade aproximadamente 1,000 kg Preço por KG","R$ 21,98"
14,"Músculo Bovino Bandeja Resfriado Kg
0
R$ 16,19
1 unidade aproximadamente 0,600 kg Preço por KG","R$ 16,19"
15,"Cupim Bovino Resfriado Kg
0
R$ 15,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 15,99"
16,"Peixinho Bovino Resfriado Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
17,"Bistecão Bovino Resfriado Kg
0
R$ 11,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 11,49"
18,"Lagarto Bovino Bandeja Resfriado Kg
0
R$ 17,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 17,49"
19,"Osso Buco Bovino Congelado Kg
0
R$ 13,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 13,49"
20,"Miolo De Paleta Bovino Resfriado Kg
0
R$ 13,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 13,49"
21,"Capa De File Bovino Resfriada Kg
0
R$ 16,49
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 16,49"
22,"Bucho Bovino Congelado Kg
0
R$ 9,99
1 unidade aproximadamente 0,500 kg Preço por KG","R$ 9,99"
23,"Miúdo Bovino Mocotó Bandeja Kg
0
R$ 7,19
1 unidade aproximadamente 0,600 kg Preço por KG","R$ 7,19"
24,"Mocoto Bovino Congelado Kg
0
R$ 27,45
1 unidade aproximadamente 2,500 kg Preço por KG","R$ 27,45"
