,item,preço
0,Tomate Kg,"R$ 2,99 kg"
1,Tomate Pelado Olé em Cubo Lata 240G,"R$ 4,39"
2,Tomate Pelado Olé Inteiro Lata 240G,"R$ 4,39"
3,Tomate Pelado Pomarola Lata 240G,"R$ 7,80"
4,Tomate Seco em Conserva Gentleman Embalagem 100G,"R$ 15,90"
5,Tomate Seco Frios,"R$ 45,90 kg"
6,Tomate Pelado Granoro Pomodori Pelati Lata 400G,"R$ 8,90"
7,Molho de Tomate Fugini Tradicional Sachê 340Gr,"R$ 1,69"
8,Molho de Tomate Quero Tradicional 340G.,"R$ 1,89"
9,Extrato Tomate Elefante Tradicional Extratos 340G,"R$ 5,89"
10,Molho de Tomate Tradicional Pomarola Sachê 340G,"R$ 2,29"
11,Molho de Tomate Predilecta Tradicional 340G.,"R$ 1,29 R$ 1,69"
