item,preço
Tomate à Granel 1kg,"R$7,41"
Tomate Italiano Bandeja 1kg,"R$9,53"
Tomate Pelado CASINO Lata 400g,"R$6,99"
Tomate Grape Tanaka 400g,INDISPONÍVEL
Tomate para Molho QUALITÁ Bandeja 600g,INDISPONÍVEL
Tomate Uva Sweet Grape QUALITÁ 180g,INDISPONÍVEL
Passata Francesa de Tomate CASINO Vidro 680ml,INDISPONÍVEL
Tomate Pelado CASINO Lata 800g,INDISPONÍVEL
Tomate Cereja Orgânico TAEQ Bandeja 250g,INDISPONÍVEL
Molho de Tomate com Pedaços QUALITÁ 340g,"R$1,45"
Tomate Salada Orgânico TAEQ 500g,INDISPONÍVEL
Mini Tomate para Salada QUALITÁ 200g,INDISPONÍVEL
