item,preço
Tomate Salada Kg,"R$ 4,89 un."
Molho de Tomate Tradicional Refogado Predilecta 340g,"R$ 1,09 un."
Tomate Pelado em Cubos Olé 240g,"R$ 3,39 un."
Molho de Tomate com Pedaços D'Ajuda 200g,"R$ 0,79 un."
Molho de Tomate Tradicional Refogado Fugini 340g,"R$ 1,19 un."
Molho de Tomate Tradicional Refogado Quero 340g,"R$ 1,19 un."
Molho de Tomate Tradicional Refogado Salsaretti Sachê 340g,"R$ 1,39 un."
Extrato de Tomate Elefante 280g,"R$ 2,99 un."
Extrato de Tomate Quero 190g,"R$ 2,39 un."
Extrato de Tomate Quero 320g,"R$ 2,09 un."
Molho de Tomate Tradicional Stella Doro 340g,"R$ 0,99 un."
Extrato de Tomate Elefante 340g,"R$ 3,99 un."
Base de Tomate para Molho Extratod'Oro Stella D'Oro 2kg,"R$ 8,49 un."
"Molho de Tomate Tradicinal Salsaretti 3,1Kg","R$ 12,29 un."
Molho de Tomate Refogado Tradicional Predilecta 2kg,"R$ 7,89 un."
Molho de Tomate com Manjericão Heinz Sachê 340g,"R$ 2,99 un."
Extrato de Tomate Salsaretti 140g,"R$ 1,99 un."
Molho de Tomate Toque Caseiro com Manjericão Pomarola 300g,"R$ 2,69 un."
Extrato de Tomate D'Ajuda 2kg,"R$ 10,19 un."
Molho de Tomate com Pedaços D'Ajuda 2kg,"R$ 7,69 un."
