data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Arroz Agulhinha Pop 5kg Tp1,Arroz,Pop,17.9,5kg,SV
19/03/21,Arroz Agulhinha Serrazul 5kg Tp1,Arroz,Serrazul,19.9,5kg,SV
19/03/21,Arroz Agulhinha Tio Joao 5kg Tipo 1,Arroz,Tio João,23.9,5kg,SV
19/03/21,Arroz Agulhinha Camil Reserva Especial 5 Kg,Arroz,Camil,22.5,5kg,SV
19/03/21,Arroz Agulhinha Camil 5kg Tipo 1,Arroz,Camil,23.89,5kg,SV
19/03/21,Arroz Agulhinha Prato Fino 5kg Tipo 1,Arroz,Prato Fino,26.9,5kg,SV
19/03/21,Arroz Agulhinha 4r 5kg Tipo1,Arroz,4r,20.59,5kg,SV
19/03/21,Arroz Agulhinha Empório São João 5kg Tipo 1,Arroz,Emporio Sao Joao,24.49,5kg,SV
19/03/21,Arroz Agulhinha Tio Joao 2kg,Arroz,Tio João,11.98,2kg,SV
19/03/21,Arroz Agulhinha Prato Fino 2kg Tipo 1,Arroz,Prato Fino,11.9,2kg,SV
19/03/21,Arroz Camil 1kg Culin Italiana,Arroz,Camil,10.98,1kg,SV
19/03/21,Arroz Agulhinha Biju 5kg Tipo 1,Arroz,Meu Biju,23.49,5kg,SV
19/03/21,Arroz Agulhinha Namorado 5kg Tp1,Arroz,Namorado,19.9,5kg,SV
19/03/21,Arroz Parboilizado Namorado 1kg,Arroz,Namorado,5.49,1kg,SV
19/03/21,Arroz Parboilizado Prato Fino 2kg,Arroz,Prato Fino,11.99,2kg,SV
19/03/21,Arroz Integral Camil 1kg,Arroz,Camil,3.99,1kg,SV
19/03/21,Arroz Parboilizado Camil 5kg Tipo 1,Arroz,Camil,24.9,5kg,SV
19/03/21,Arroz Agulh Camil 1kg Tp1,Arroz,Camil,6.35,1kg,SV
19/03/21,Arroz Agulhinha Broto Legal 2kg Tipo 1,Arroz,Broto Legal,11.49,2kg,SV
19/03/21,Arroz Pilao Albaruska 5kg,Arroz,Albaruska,29.98,5kg,SV
19/03/21,Arroz Risoto Roma Grandi Riso 1kg,Arroz,Grandi Riso,12.9,1kg,SV
19/03/21,Arroz Tio Joao Cozinha Japonesa 1kg,Arroz,Tio João,11.76,1kg,SV
19/03/21,Arroz Arboreo Grandi Riso 1kg,Arroz,Grandi Riso,12.9,1kg,SV
19/03/21,Arroz Agulhinha Vasconcelos 2kg Tp1,Arroz,Vasconcelos,9.98,2kg,SV
19/03/21,Arroz Parboilizado Vasconcelos 5kg,Arroz,Vasconcelos,25.9,5kg,SV
19/03/21,Arroz Longo Kangai Broto Legal 1kg,Arroz,Broto Legal,7.95,1kg,SV
19/03/21,Arroz Parboilizado Tio Joao 5kg Tp1,Arroz,Tio João,27.9,5kg,SV
19/03/21,Arroz Integral Broto Legal 1kg,Arroz,Broto Legal,6.99,1kg,SV
19/03/21,Arroz Pilao Albaruska 2kg,Arroz,Albaruska,11.99,2kg,SV
19/03/21,Arroz Integral Raris 7 Graos 1kg,Arroz,Ráris,13.59,1kg,SV
19/03/21,Arroz Pilao Albaruska Integral 1kg,Arroz,Albaruska,6.49,1kg,SV
19/03/21,Arroz Integ Raris 1kg Cateto,Arroz,Ráris,5.25,1kg,SV
