data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Batata Primeira Bandeja 850g,Batata,Genérico,3.57,850g,SV
19/03/21,Batata Congelada Bem Brasil 2kg Palito Mais Batata,Batata,Bem Brasil,14.65,2kg,SV
19/03/21,"Batata Congelada Bem Brasil 1,05kg Palito",Batata,Bem Brasil,14.79,"1,05kg",SV
19/03/21,"Batata Congelada Crinkle Bem Brasil 1,05kg",Batata,Bem Brasil,14.79,"1,05kg",SV
19/03/21,Batata Doce Roxa Bandeja 900g,Batata,Sem Marca,6.02,900g,SV
19/03/21,Batata Mccain Rustica 720g Cong,Batata,Mccain,12.9,720g,SV
19/03/21,Batata Cong Bint 2kg Palito,Batata,Bint,25.9,2kg,SV
19/03/21,"Batata Congelada Bem Brasil 1,05kg Corte Especial",Batata,Bem Brasil,14.79,"1,05kg",SV
19/03/21,Batata Doce Branca Bandeja 900g,Batata,Sem Marca,7.55,900g,SV
19/03/21,Batata Smiles Mccain 500g Congelada,Batata,Mccain,9.9,500g,SV
19/03/21,"Batata Congelada Sadia 1,05kg Palito",Batata,Sadia,18.06,"1,05kg",SV
19/03/21,Batata Mccain Tradicional 1.5kg Congelada,Batata,Mccain,18.9,1.5kg,SV
19/03/21,Batata Congelada Sadia 400g Letrinhas,Batata,Sadia,9.76,400g,SV
19/03/21,Batata Mccain Tradicional 600g Cong Forno,Batata,Mccain,9.9,600g,SV
19/03/21,Batata Palito Congelada Mccain 720g,Batata,Mccain,12.9,720g,SV
19/03/21,Batata Mccain Corte Fino 400g Congelado,Batata,Mccain,8.99,400g,SV
19/03/21,Batata Palha Elma Chips Extra Fina 100g,Batata,Elma Chips,5.79,100g,SV
