data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Café 3 Corações 500g Vac Tradicional,Café,3 Coracoes,9.99,500g,SV
19/03/21,Cafe 3 Coracoes 500g Stand Tradic,Cafe,3 Coracoes,9.99,500g,SV
19/03/21,Cafe Melitta 500g Tradicional,Cafe,Melitta,10.9,500g,SV
19/03/21,Cafe Caboclo 500g Vacuo Extra Forte,Cafe,Caboclo,8.78,500g,SV
19/03/21,Café Starbucks 250g House Blend,Café,Starbucks,25.7,250g,SV
19/03/21,Cafe Melitta 500g Sb Faz Ext Fort,Cafe,Melitta,14.8,500g,SV
19/03/21,Cafe Caboclo 500g A Vacuo,Cafe,Caboclo,8.78,500g,SV
19/03/21,Cafe Pilao 500g Vac,Cafe,Pilão,11.9,500g,SV
19/03/21,Café Starbucks 86g Sachê Latte Caramel,Café,Starbucks,19.9,86g,SV
19/03/21,Café Melitta 250g Regiões Brasileiras Cerrado,Café,Melitta,8.99,250g,SV
19/03/21,Café Vasconcelos 500g Vac Tradicional,Café,Vasconcelos,7.45,500g,SV
19/03/21,Cafe Melitta 500g Sb Faz Tradic,Cafe,Melitta,14.8,500g,SV
19/03/21,Café Pilão 500g Vácuo Cafeteria Espresso,Café,Pilão,13.9,500g,SV
19/03/21,Cafe 3 Coracoes 500g Stand Ext Forte,Cafe,3 Coracoes,9.99,500g,SV
19/03/21,Café Starbucks 250g Verona,Café,Starbucks,25.7,250g,SV
19/03/21,Cafe 3 Coracoes 500g Vac Premium,Cafe,3 Coracoes,11.9,500g,SV
19/03/21,Cafe Vasconcelos 500g Vac Extra Forte,Cafe,Vasconcelos,7.45,500g,SV
19/03/21,Café Melitta 250g Regiões Brasileiras Mogiana,Café,Melitta,8.99,250g,SV
19/03/21,Cafe Grao Lor Forza 500g,Cafe,Lor,28.9,500g,SV
19/03/21,Café Starbucks 250g Pike Place Roast,Café,Starbucks,25.7,250g,SV
19/03/21,Cafe Soluvel Nescafe 100g Vidro Original,Cafe,Nescafé,10.9,100g,SV
19/03/21,Café Nescafé 250g Lata Origens Serra Alto Parnaíba,Café,Nescafé,13.9,250g,SV
19/03/21,Café L'Or 250g Gourmet Mogiana,Café,Lor,12.4,250g,SV
19/03/21,Cafe Nescafe 250g Gold Intenso 09,Cafe,Nescafé,15.9,09,SV
19/03/21,Cafe Org Native 250g,Cafe,Native,14.5,250g,SV
19/03/21,Café Starbucks 88g Sachê Mocha Arabica,Café,Starbucks,19.9,88g,SV
19/03/21,Café Pilão 500g Vácuo Cafeteria Coado,Café,Pilão,13.9,500g,SV
19/03/21,Cafe Bom Jesus 500g,Cafe,Bom Jesus,7.99,500g,SV
19/03/21,Café Melitta 250g Descafeinado,Café,Melitta,10.9,250g,SV
19/03/21,Café 3 Corações 500g Vac Extra Forte,Café,3 Coracoes,9.99,500g,SV
