data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Farinha Trigo Dona Benta 1kg Res Esp Pap,Farinha,Dona Benta,5.59,1kg,SV
19/03/21,Farinha Trigo Renata 1k Especial,Farinha,Renata,5.79,1k,SV
19/03/21,Farinha Trigo Rosa Branca 1kg Especial,Farinha,Rosa Branca,3.19,1kg,SV
19/03/21,Farinha Trigo Primor 1kg Tipo1,Farinha,Primor,2.99,1kg,SV
19/03/21,Farinha Milho Yoki 500g,Farinha,Yoki,4.45,500g,SV
19/03/21,Farinha Trigo Dona Benta 1kg Tradicional,Farinha,Dona Benta,4.49,1kg,SV
19/03/21,Farinha Rosca Deusa 500g Sem Gluten,Farinha,Deusa,5.98,500g,SV
19/03/21,Farinha Trigo Sol 1kg Esp,Farinha,Sol,3.99,1kg,SV
19/03/21,Farinha Rosca Pullman 500g,Farinha,Pullman,3.98,500g,SV
19/03/21,Farinha Trigo Mãe Terra 500g Integral Orgânico,Farinha,Mãe Terra,7.99,500g,SV
19/03/21,Farinha Mandioca Deusa 500g Biju,Farinha,Deusa,6.89,500g,SV
19/03/21,Farinha Rosca Yoki 500g,Farinha,Yoki,10.58,500g,SV
19/03/21,Farinha Mandioca Yoki 500g Torrada,Farinha,Yoki,5.39,500g,SV
19/03/21,Farinha Arroz Urbano 1kg,Farinha,Urbano,7.58,1kg,SV
19/03/21,Farinha Linhaça Mãe Terra 150g Integral,Farinha,Mãe Terra,7.36,150g,SV
19/03/21,Farinha Linhaca Jasmine 200g Dourada,Farinha,Jasmine,11.9,200g,SV
19/03/21,Farinha De Chia Kodilar 100g,Farinha,Kodilar,6.36,100g,SV
19/03/21,Farinha Mandioca Yoki 500g Crua,Farinha,Yoki,4.59,500g,SV
19/03/21,Farinha Linhaça Mãe Terra 150g Dourada,Farinha,Mãe Terra,9.99,150g,SV
19/03/21,Farinha De Berinjela Kodilar 100g,Farinha,Kodilar,9.59,100g,SV
19/03/21,Farinha Mandioca Angelica 1kg Grossa,Farinha,Angelica,6.49,1kg,SV
19/03/21,Farinha De Milho Angelica 500g Amarela,Farinha,Angelica,3.95,500g,SV
19/03/21,Farinha De Mandioca Angelica 500g Fina,Farinha,Angelica,4.45,500g,SV
19/03/21,Farinha De Mandioca Angelica 500g Grossa,Farinha,Angelica,3.59,500g,SV
19/03/21,Farinha De Mandioca Angelica 500g Torrada,Farinha,Angelica,4.59,500g,SV
19/03/21,Farinha De Rosca Angelica 500g,Farinha,Angelica,6.78,500g,SV
19/03/21,Farinha Panko Karui 200g,Farinha,Karui,9.98,200g,SV
