data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Feijao Carioca Broto Legal 1kg,Feijao,Broto Legal,6.89,1kg,SV
19/03/21,Feijão Carioca Camil 1kg,Feijão,Camil,6.35,1kg,SV
19/03/21,Feijão Carioca Vasconcelos 1kg,Feijão,Vasconcelos,5.98,1kg,SV
19/03/21,Feijao Bolinha Emporio Sao Joao 1kg,Feijao,Emporio Sao Joao,8.99,1kg,SV
19/03/21,Feijão Carioca Serrazul 1kg,Feijão,Serrazul,6.49,1kg,SV
19/03/21,Feijao Carioca Emporio Sao Joao 1kg,Feijao,Emporio Sao Joao,6.99,1kg,SV
19/03/21,Feijao Jalo Vasconcelos 1kg,Feijao,Vasconcelos,11.9,1kg,SV
19/03/21,Feijao Fradinho Camil 1kg,Feijao,Camil,3.99,1kg,SV
19/03/21,Feijão Rosinha Broto Legal 1kg,Feijão,Broto Legal,11.98,1kg,SV
19/03/21,Feijão Rajado Broto Legal 1kg,Feijão,Broto Legal,12.39,1kg,SV
19/03/21,Feijao Rajado Camil 500g,Feijao,Camil,7.49,500g,SV
19/03/21,Feijao Branco Yoki 500g,Feijao,Yoki,8.59,500g,SV
19/03/21,Feijão Preto Camil 1kg,Feijão,Camil,8.99,1kg,SV
19/03/21,Feijao Pronto Quero Carioca 340g Tp,Feijao,Quero,7.79,340g,SV
19/03/21,Feijão Pronto Carioca Fugini 250g Sachê,Feijão,Fugini,2.29,250g,SV
19/03/21,Feijao Pronto Camil P Tempero 490g Tp Carioca,Feijao,Camil,3.99,490g,SV
19/03/21,Feijao Pronto Camil Tp 380g Carioca,Feijao,Camil,3.99,380g,SV
19/03/21,Feijão Vermelho Pronto Knorr 170g Lata,Feijão,Knorr,5.79,170g,SV
19/03/21,Feijao Pronro Camil 247g Tp Fradinho,Feijao,Camil,6.39,247g,SV
19/03/21,Feijao Pronto Camil Tp 380g Preto,Feijao,Camil,3.99,380g,SV
19/03/21,Feijao Pronto Camil 247g Tp Branco,Feijao,Camil,6.39,247g,SV
19/03/21,Feijão Carioca Mãe Terra 500g Orgânico,Feijão,Mãe Terra,9.9,500g,SV
