data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Leite Longa Vida Jussara 1l Com Tampa Integral,Leite,Jussara,3.38,1l,SV
19/03/21,Leite Longa Vida Nilza Mid Integral 1l,Leite,Nilza,3.05,1l,SV
19/03/21,Leite Longa Vida Italac Integral 1l,Leite,Italac,3.05,1l,SV
19/03/21,Leite Longa Vida Nestle 1l Ninho Edge,Leite,Ninho,4.28,1l,SV
19/03/21,Leite Longa Vida Italac Desnatado 1l,Leite,Italac,3.05,1l,SV
19/03/21,Leite Longa Vida Italac Sem Lactose Semi Desnat Com Tampa 1l,Leite,Italac,3.98,1l,SV
19/03/21,Leite Pasteurizado Letti 1l Garrafa Tipo A,Leite,Letti,6.39,1l,SV
19/03/21,Leite Pasteurizado Letti 1l Garrafa Magro,Leite,Letti,6.39,1l,SV
19/03/21,Leite Longa Vida Parmalat 1l Integral Com Tampa,Leite,Parmalat,3.28,1l,SV
19/03/21,Leite Longa Vida Piracanjuba Desnatado Semi Com Tampa 1l,Leite,Piracanjuba,3.05,1l,SV
19/03/21,Leite Longa Vida Nilza Mid Desnatado 1l,Leite,Nilza,3.05,1l,SV
19/03/21,Leite Longa Vida Nestle 1l Molico Edge,Leite,Molico,3.98,1l,SV
19/03/21,Leite Longa Vida Nestle 1l Ninho Levinho Edge,Leite,Ninho,3.98,1l,SV
19/03/21,Leite Longa Vida Jussara Sem Lactose Garrafa 1l,Leite,Jussara,3.75,1l,SV
19/03/21,Leite Longa Vida Danone Integral Com Tampa 1l,Leite,Danone,3.68,1l,SV
19/03/21,Leite Longa Vida Nilza Sem Lactose 1l,Leite,Nilza,3.98,1l,SV
19/03/21,Leite Longa Vida Jussara 1l Com Tampa Semi Desnatado,Leite,Jussara,3.38,1l,SV
19/03/21,Leite Lv Italac 1l Zero Lactose Integral,Leite,Italac,3.98,1l,SV
19/03/21,Leite Po Ninho Integral 400g Forti+,Leite,Ninho,16.9,400g,SV
19/03/21,Leite Longa Vida Jussara 1l Com Tampa Desnatado,Leite,Jussara,3.38,1l,SV
19/03/21,Leite Pó Italac 400g Integral Sache,Leite,Italac,10.9,400g,SV
19/03/21,Leite Lv Parmalat Zymil 1l S/Lac In Integ,Leite,Parmalat,3.58,1l,SV
19/03/21,Leite Longa Vida Italac Semi Desnatado 1l,Leite,Italac,3.05,1l,SV
19/03/21,Leite Longa Vida Paulista Integral Com Tampa 1l,Leite,Paulista,3.58,1l,SV
19/03/21,Leite Em Pó Itambé 400g Pacote Integral,Leite,Itambé,10.9,400g,SV
19/03/21,Leite Longa Vida Itambê Nolac Sem Lactose Semi Desnatado 1l,Leite,Itambé,4.19,1l,SV
19/03/21,Leite Longa Vida Batavo Semi Desnatado 1l,Leite,Batavo,3.45,1l,SV
19/03/21,Leite Po Sem Lactose Supra Soy 300g Nature,Leite,Supra Soy,22.9,300g,SV
19/03/21,Leite Longa Vida Piracanjuba Desnatado Com Tampa 1l,Leite,Piracanjuba,3.05,1l,SV
19/03/21,Leite Longa Vida Elegê 1l Integral,Leite,Elegê,3.05,1l,SV
19/03/21,Leite Cabra Capprys Integral 1l,Leite,Capprys,10.9,1l,SV
19/03/21,Leite Longa Vida Paulista Semi Desnatado Com Tampa 1l,Leite,Paulista,3.58,1l,SV
