data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Manteiga President 200g Gastronomique Sem Sal,Manteiga,Président,11.9,200g,SV
19/03/21,Manteiga Margarina Claybom 500g Com Sal,Manteiga,Claybom,5.99,500g,SV
19/03/21,Manteiga Paulista 200g Com Sal,Manteiga,Paulista,7.79,200g,SV
19/03/21,Manteiga Aviacao 200g Pacote Sem Sal,Manteiga,Aviação,9.98,200g,SV
19/03/21,Manteiga Tablete President 200g Com Sal,Manteiga,Président,10.89,200g,SV
19/03/21,Manteiga Itambe 200gr Com Sal,Manteiga,Itambé,9.18,200gr,SV
19/03/21,Manteiga Frimesa 200g Extra Com Sal,Manteiga,Frimesa,8.39,200g,SV
19/03/21,Manteiga Itambe 500g Com Sal,Manteiga,Itambé,21.9,500g,SV
19/03/21,Manteiga Tablete President 200g Sem Sal,Manteiga,Président,10.89,200g,SV
19/03/21,Manteiga Itambe 200g Sem Sal,Manteiga,Itambé,9.18,200g,SV
19/03/21,Manteiga Batavo 200g Tablete Sem Sal,Manteiga,Batavo,9.29,200g,SV
19/03/21,Manteiga Gran Mestri 200g Lt Com Sal,Manteiga,Gran Mestri,13.28,200g,SV
19/03/21,Manteiga Batavo 200g Tablete Com Sal,Manteiga,Batavo,9.29,200g,SV
19/03/21,Manteiga Aviacao 200g Pote Sem Sal,Manteiga,Aviação,10.59,200g,SV
19/03/21,Manteiga Gran Mestri 200g Zero Lactose,Manteiga,Gran Mestri,14.98,200g,SV
19/03/21,Manteiga Frimesa 200g Extra Sem Sal,Manteiga,Frimesa,8.39,200g,SV
19/03/21,Manteiga Itambe 200g Com Sal,Manteiga,Itambé,9.18,200g,SV
