data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Oleo Soja Liza 900ml Pet,Oleo,Liza,6.45,900ml,SV
19/03/21,Oleo Soja Concordia 900ml,Oleo,Concordia,5.95,900ml,SV
19/03/21,Óleo Soja Leve 900ml Pet,Óleo,Leve,6.95,900ml,SV
19/03/21,Óleo Soja Soya 900ml Pet,Óleo,Soya,6.98,900ml,SV
19/03/21,Oleo Milho Liza 900ml,Oleo,Liza,12.98,900ml,SV
19/03/21,Oleo Canola Vitaliv 900ml,Oleo,Vitaliv,8.99,900ml,SV
19/03/21,Oleo Coco Copra 200 Ml Extra Virgem,Oleo,Copra,24.49,200,SV
19/03/21,Oleo Composto Olivia 500ml Pet Cebola E Alho,Oleo,Olivia,8.49,500ml,SV
19/03/21,Oleo Girassol Liza 900ml,Oleo,Liza,11.99,900ml,SV
19/03/21,Óleo Girassol Vitaliv 900ml,Óleo,Vitaliv,9.79,900ml,SV
19/03/21,Oleo Canola Liza 900ml,Oleo,Liza,11.98,900ml,SV
19/03/21,Oleo Milho Salada 900ml Especial,Oleo,Salada,11.99,900ml,SV
19/03/21,Oleo Coco Copra 500ml Extra Virgem,Oleo,Copra,48.9,500ml,SV
19/03/21,Oleo De Linhaca Kodilar 250ml,Oleo,Kodilar,20.99,250ml,SV
19/03/21,Oleo Milho Soya 900ml,Oleo,Soya,11.99,900ml,SV
19/03/21,Oleo Soya Girassol 900 Ml,Oleo,Soya,11.49,900,SV
19/03/21,Óleo Capilar Seda 200ml Boom Gel Finalizador,Óleo,Seda,18.4,200ml,SV
19/03/21,Oleo Capilar Elseve 100ml,Oleo,Elseve,36.9,100ml,SV
19/03/21,Óleo Capilar Monange Agenda Capilar Reconstituição 30ml,Óleo,Monange,13.9,30ml,SV
19/03/21,"Oleo Capilar Elseve 4,5ml Gota",Oleo,Elseve,7.38,"4,5ml",SV
19/03/21,Óleo Capilar Monange Agenda Capilar Serum Hidratação 30ml,Óleo,Monange,13.9,30ml,SV
19/03/21,Óleo Capilar Monange Agenda Capilar Nutrição 30ml,Óleo,Monange,13.9,30ml,SV
19/03/21,Oleo Coco Copra 200ml Extra Virgem Organico,Oleo,Copra,25.98,200ml,SV
19/03/21,Oleo Composto Olivia 500ml Tradicional Pet,Oleo,Olivia,8.19,500ml,SV
19/03/21,Oleo Composto Maria 500ml Pet Alho,Oleo,Maria,7.89,500ml,SV
